Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
Cpap_0250	WES36361.1|CBM3	100	1429	0	0	1	1429	1	1429	0.0	2677
Cpap_0251	WES36362.1|GH48	100	721	0	0	1	721	1	721	0.0	1454
Cpap_0252	WES36363.1|GH8	100	460	0	0	1	460	1	460	0.0	885
Cpap_0253	WES36364.1|CBM3|GH9	100	725	0	0	1	725	1	725	0.0	1448
Cpap_0254	WES36365.1|CBM4|GH9	100	885	0	0	1	885	1	885	0.0	1769
Cpap_0256	WES36367.1|CBM3|GH9	100	714	0	0	1	714	1	714	0.0	1488
Cpap_0257	WES36368.1|CBM3|GH9	100	726	0	0	1	726	1	726	0.0	1536
Cpap_0258	WES36369.1|GH5_17	100	424	0	0	1	424	1	424	1.42e-303	826
Cpap_0259	WES36370.1|GH9	100	510	0	0	1	510	17	526	0.0	1017
Cpap_0260	WES36371.1|GH5_7	100	433	0	0	1	433	1	433	0.0	903
Cpap_0261	WES36372.1|GH5_1	99.8	533	1	0	1	533	1	533	0.0	1092
