CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	HF548280	BN138_221	1	3204	+	1.B.14.6.1
CGC1	null	HF548280	BN138_222	3220	4896	+	null
CGC1	null	HF548280	BN138_223	4918	6231	+	null
CGC1	CAZyme	HF548280	BN138_224	6228	8558	+	GH10| GH10|3.2.1.8|CBM4
CGC1	CAZyme	HF548280	BN138_225	8715	11087	+	 GH115|GH115
CGC1	CAZyme	HF548280	BN138_226	11084	13609	+	GH11|3.2.1.8| GH11| CE20|CE20
CGC1	TC	HF548280	BN138_227	13624	15042	+	2.A.2.3.2
CGC1	CAZyme	HF548280	BN138_228	15047	16177	+	GH10| GH10|3.2.1.8
CGC1	CAZyme	HF548280	BN138_229	16185	17141	+	 GH43_1|GH43_1
CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	HF548280	BN138_221	1	3204	+	1.B.14.6.1
CGC1	null	HF548280	BN138_222;Parent	3220	4896	+	null
CGC1	null	HF548280	BN138_223;Parent	4918	6231	+	null
CGC1	CAZyme	HF548280	BN138_224	6228	8558	+	GH10
CGC1	CAZyme	HF548280	BN138_225	8715	11087	+	GH115
CGC1	CAZyme	HF548280	BN138_226	11084	13609	+	CE20|CE20|GH11
CGC1	TC	HF548280	BN138_227	13624	15042	+	2.A.2.3.2
CGC1	CAZyme	HF548280	BN138_228	15047	16177	+	GH10
CGC1	CAZyme	HF548280	BN138_229	16185	17141	+	GH43_1
