Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
Bovatus_RS21315	SCV08369.1|GH105	100	399	0	0	1	399	1	399	2.08e-306	831
Bovatus_RS21320	ALJ48951.1|CE8	100	323	0	0	1	323	1	323	1.33e-225	620
Bovatus_RS21325	ALJ48952.1|CE12|CE8	100	582	0	0	1	582	1	582	0.0	1189
Bovatus_RS21335	QRQ55765.1|PL1_2	100	498	0	0	1	498	1	498	0.0	1023
Bovatus_RS21340	QRQ55766.1|PL1_2	100	553	0	0	1	553	1	553	0.0	1153
Bovatus_RS21345	QRQ55767.1|PL1_2	100	527	0	0	1	527	1	527	0.0	1082
Bovatus_RS21350	QRQ55768.1|CE8	100	542	0	0	1	542	1	542	0.0	1087
Bovatus_RS21380	ALJ48964.1|PL1_2	100	509	0	0	1	509	1	509	0.0	1066
Bovatus_RS21395	QUT78065.1|PL1_2	100	795	0	0	1	795	1	795	0.0	1593
Bovatus_RS21420	QUT78059.1|CE8	100	803	0	0	1	803	1	803	0.0	1634
Bovatus_RS21425	SCV08391.1|GH28	100	524	0	0	1	524	1	524	0.0	1015
Bovatus_RS21430	ALJ48974.1|GH3	100	863	0	0	1	863	1	863	0.0	1763
Bovatus_RS21435	QRQ55784.1|CBM6|GH43_10	100	668	0	0	1	668	1	668	0.0	1420
