CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NC_016610	BFO_RS09915	1	1218	+	GH88
CGC1	TC	NC_016610	BFO_RS09920	1276	4401	+	1.B.14.6.1
CGC1	TC	NC_016610	BFO_RS09925	4413	6119	+	8.A.46.1.3
CGC1	null	NC_016610	BFO_RS09930;Parent	6318	7160	+	null
CGC1	null	NC_016610	BFO_RS09935;Parent	7174	8316	+	null
CGC1	null	NC_016610	BFO_RS09940;Parent	8313	9863	+	null
CGC1	CAZyme	NC_016610	BFO_RS09945	9900	11825	+	PL33_1
CGC1	STP	NC_016610	BFO_RS09950	11860	12900	+	PfkB
CGC1	null	NC_016610	BFO_RS09955;Parent	12937	13728	+	null
CGC1	null	NC_016610	BFO_RS09960;Parent	13755	14426	+	null
CGC1	TC	NC_016610	BFO_RS09965	14476	15903	+	2.A.1.14.25
