Reg_prop	24	NQ544_RS13810	1368	7.2e-06	2	24	49	71	0.9166666666666666
Reg_prop	24	NQ544_RS13810	1368	1.4e-05	1	23	93	115	0.9166666666666666
Reg_prop	24	NQ544_RS13810	1368	2e-05	2	23	398	419	0.875
Reg_prop	24	NQ544_RS13810	1368	2.6e-06	6	23	444	461	0.7083333333333334
Reg_prop	24	NQ544_RS13810	1368	1.8e-05	5	24	541	560	0.7916666666666666
Reg_prop	24	NQ544_RS13810	1368	4.2e-07	1	23	582	604	0.9166666666666666
Y_Y_Y	66	NQ544_RS13810	1368	8.3e-09	2	56	722	774	0.8181818181818182
HisKA	64	NQ544_RS13810	1368	1.4e-14	2	64	833	897	0.96875
HATPase_c	111	NQ544_RS13810	1368	5.7e-23	2	110	944	1061	0.972972972972973
Response_reg	112	NQ544_RS13810	1368	5e-27	1	110	1116	1225	0.9732142857142857
HTH_18	81	NQ544_RS13810	1368	2.4e-26	1	80	1285	1363	0.9753086419753086
