HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_11.hmm	292	GTNG_RS09205	535	6.6e-154	1	292	4	302	0.9965753424657534
CBM91.hmm	200	GTNG_RS09205	535	1.9e-57	3	198	329	534	0.975
CE3.hmm	194	GTNG_RS09210	220	3.3e-16	53	194	58	211	0.7268041237113402
GH10.hmm	303	GTNG_RS09220	407	2.6e-112	2	302	48	405	0.9900990099009901
GH39.hmm	431	GTNG_RS09260	506	1.6e-188	4	431	13	438	0.9907192575406032
GH67.hmm	669	GTNG_RS09265	684	0	5	669	8	680	0.992526158445441
GH10.hmm	303	GTNG_RS09285	331	7e-118	1	301	7	329	0.9900990099009901
GH52.hmm	415	GTNG_RS09290	705	1.6e-216	1	415	20	439	0.9975903614457832
CE4.hmm	130	GTNG_RS09295	208	2.2e-37	4	125	10	133	0.9307692307692308
GH179.hmm	338	GTNG_RS09350	331	4.4e-30	8	329	26	324	0.9497041420118343
GH51_1.hmm	472	GTNG_RS09355	502	1.9e-185	3	472	9	499	0.9936440677966102
