Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
GTNG_RS09205	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1|-	GH43_11(4-302)+CBM91(329-534)	GH43_e285+CBM91_e24	GH43_11	3
GTNG_RS09210	-	CE3(58-211)	-	-	1
GTNG_RS09220	3.2.1.8:28	GH10(48-405)	GH10_e98	GH10	3
GTNG_RS09260	3.2.1.37:10	GH39(13-438)	GH39_e74	GH39	3
GTNG_RS09265	3.2.1.139:12|3.2.1.131:10	GH67(8-680)	GH67_e1	GH67	3
GTNG_RS09285	3.2.1.8:22	GH10(7-329)	GH10_e135	GH10	3
GTNG_RS09290	3.2.1.37:8	GH52(20-439)	GH52_e0	GH52	3
GTNG_RS09295	-	CE4(10-133)	CE4_e323	CE4	3
GTNG_RS09350	-	GH179(26-324)	-	-	1
GTNG_RS09355	3.2.1.55:37	GH51_1(9-499)	GH51_e0	GH51	3
