PUL#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
PUL0623	CDS	JABKKF010000001	HPS56_01015	1	28	+	null
PUL0623	TC	JABKKF010000001	HPS56_01020	1	2025	+	1.B.14.10.1
PUL0623	CDS	JABKKF010000001	HPS56_01025	2022	6269	+	null
PUL0623	CDS	JABKKF010000001	HPS56_01030	6269	6955	+	null
PUL0623	CDS	JABKKF010000001	HPS56_01035	6952	7557	+	null
PUL0623	CDS	JABKKF010000001	HPS56_01040	7554	7892	+	null
PUL0623	CAZyme	JABKKF010000001	HPS56_01045	8038	10605	-	GH3
PUL0623	CDS	JABKKF010000001	HPS56_01050	11046	13397	+	null
PUL0623	TC	JABKKF010000001	HPS56_01055	13417	16692	+	1.B.14.6.1
PUL0623	TC	JABKKF010000001	HPS56_01060	16709	18274	+	8.A.46.1.4
PUL0623	CDS	JABKKF010000001	HPS56_01065	18287	20050	+	null
PUL0623	CDS	JABKKF010000001	HPS56_01070	20066	21880	+	null
PUL0623	CDS	JABKKF010000001	HPS56_01075	21901	25020	+	null
PUL0623	CDS	JABKKF010000001	HPS56_01080	25029	26933	+	null
PUL0623	CDS	JABKKF010000001	HPS56_01085	27040	29307	+	null
