CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	JABKKF010000001	HPS56_01020	1	2025	+	1.B.14.10.1
CGC1	null	JABKKF010000001	HPS56_01025	2022	6269	+	null
CGC1	null	JABKKF010000001	HPS56_01030	6269	6955	+	null
CGC1	null	JABKKF010000001	HPS56_01035	6952	7557	+	null
CGC1	null	JABKKF010000001	HPS56_01040	7554	7892	+	null
CGC1	CAZyme	JABKKF010000001	HPS56_01045	8038	10605	-	GH3| GH3
CGC1	null	JABKKF010000001	HPS56_01050	11046	13397	+	null
CGC1	TC	JABKKF010000001	HPS56_01055	13417	16692	+	1.B.14.6.1
CGC1	TC	JABKKF010000001	HPS56_01060	16709	18274	+	8.A.46.1.4
CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	JABKKF010000001	HPS56_01020	1	2025	+	1.B.14.10.1
CGC1	null	JABKKF010000001	HPS56_01025;Parent	2022	6269	+	null
CGC1	null	JABKKF010000001	HPS56_01030;Parent	6269	6955	+	null
CGC1	null	JABKKF010000001	HPS56_01035;Parent	6952	7557	+	null
CGC1	null	JABKKF010000001	HPS56_01040;Parent	7554	7892	+	null
CGC1	CAZyme	JABKKF010000001	HPS56_01045	8038	10605	-	GH3
CGC1	null	JABKKF010000001	HPS56_01050;Parent	11046	13397	+	null
CGC1	TC	JABKKF010000001	HPS56_01055	13417	16692	+	1.B.14.6.1
CGC1	TC	JABKKF010000001	HPS56_01060	16709	18274	+	8.A.46.1.4
