dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_e118	GH43_10:43|CBM22:4|CE0:2|CBM6:1|GH10:1|GH43_16:1	3.2.1.55:2|3.2.1.8:1	xylan, xylan	269	ATHE_RS00895	1338	3.3e-115	1	269	49	314	0.9962825278810409	0.9962825278810409
CBM22_e12	CBM22:56|CBM6:52|GH43_16:52|GH43_10:9|GH10:4|CBM3:2|CBM60:1|CE15:1|CBM5:1	3.2.1.8:4|3.2.1.55:3|3.2.1.37:1|3.2.1.-:1	xylan, beta-glucan	130	ATHE_RS00895	1338	1.5e-39	2	128	372	493	0.9692307692307692	0.9692307692307692
CBM91_e51	CBM91:206|GH43_10:196|CBM22:29|CBM6:17|GH43_16:15|GH43:7|CBM2:6|CE0:2|CBM13:2|CBM88:2|CBM9:2|GH43_29:1|CE6:1|CBM5:1|GH30_10:1	-	xylan	186	ATHE_RS00895	1338	6e-82	3	185	534	711	0.978494623655914	0.978494623655914
GH43_e261	GH43_16:637|CBM6:630|CBM22:66|CBM36:43|GH43_10:40|CBM13:21|GH43:12|CBM2:6|GH10:4|CBM3:3|CBM5:2|CBM35:1|CBM42:1|GH43_34:1	3.2.1.55:11|3.2.1.8:2|3.2.1.-:2|3.2.1.37:1	xylan, xylan, xylan, xylan	297	ATHE_RS00895	1338	2.2e-149	1	293	880	1188	0.9831649831649831	0.9831649831649831
CBM6_e6	CBM6:625|GH43_16:614|CBM22:56|CBM36:43|CBM13:18|GH43_10:14|CBM2:8|GH10:5|CBM3:3|CE0:2|CBM35:1|GH43:1|CBM5:1	3.2.1.55:13|3.2.1.8:3|3.2.1.-:2|3.2.1.37:1	beta-glucan, xylan, cellulose	127	ATHE_RS00895	1338	3.8e-47	1	126	1212	1337	0.984251968503937	0.984251968503937
CBM22_e1	CBM22:72|GH10:71|CBM9:47|CBM86:3|CE15:2|CBM4:1	3.2.1.8:20|3.2.1.37:1	xylan, beta-glucan	131	ATHE_RS00900	697	5.2e-36	3	126	40	161	0.9389312977099237	0.9389312977099237
CBM22_e1	CBM22:72|GH10:71|CBM9:47|CBM86:3|CE15:2|CBM4:1	3.2.1.8:20|3.2.1.37:1	xylan, beta-glucan	131	ATHE_RS00900	697	4.1e-43	3	130	194	322	0.9694656488549618	0.9694656488549618
GH10_e141	GH10:111|CBM22:60|CBM9:34|CBM3:11|GH5_1:6|GH48:3|CE15:2|CBM6:2|GH43_16:2|CBM4:1	3.2.1.8:29|3.2.1.4:5|3.2.1.55:1|3.2.1.37:1|3.2.1.-:1	xylan, beta-glucan, xylan	317	ATHE_RS00900	697	3e-149	1	316	354	674	0.9936908517350158	0.9936908517350158
GH39_e74	GH39:160	3.2.1.37:10	xylan	424	ATHE_RS00905	501	2.3e-210	1	423	15	436	0.9952830188679245	0.9952830188679245
GH10_e10	GH10:18	3.2.1.8:5	xylan	325	ATHE_RS00910	337	2.7e-183	1	325	13	337	0.9969230769230769	0.9969230769230769
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	ATHE_RS00915	265	1.5e-19	14	203	39	255	0.9174757281553398	0.9174757281553398
GH39_e57	GH39:36	3.2.1.37:3	xylan	424	ATHE_RS00920	416	1.8e-198	1	377	13	389	0.8867924528301887	0.8867924528301887
