Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
D568_RS0106305	ALO78722.1|CBM6|GH16_16	88.0	600	59	1	1	587	1	600	0.0	1065
D568_RS0106315	AQQ66553.1|GH50	78.9	778	158	3	1	772	1	778	0.0	1277
D568_RS0106335	QTN34214.1|CBM38	32.9	1102	660	21	83	1138	218	1286	1.50e-148	484
D568_RS0106355	BAX82390.1|GH16_3	41.5	429	233	5	19	437	28	448	8.91e-104	330
D568_RS0106365	ALO78721.1|CBM13|GH16_16	94.1	441	26	0	1	441	1	441	1.46e-284	779
D568_RS0106380	QHJ13946.1|GH50	62.9	723	267	1	40	761	65	787	0.0	970
D568_RS0106400	QEY12846.1|GH117	65.4	387	128	3	7	390	3	386	4.44e-201	565
D568_RS0106410	WAJ72204.1|GH16	67.8	397	110	3	24	402	38	434	7.32e-206	578
D568_RS0106415	BAX82390.1|GH16_3	43.7	460	238	9	1	455	1	444	2.58e-119	372
D568_RS0106425	AWB65641.1|GH2	80.7	793	148	2	1	788	1	793	0.0	1382
D568_RS0106470	WAJ70573.1|GH50	81.1	704	133	0	32	735	7	710	0.0	1209
D568_RS0106505	BAX82390.1|GH16_3	41.1	448	243	9	22	461	26	460	4.94e-110	347
D568_RS0106510	QHJ11579.1|GH127	67.5	658	213	1	1	658	1	657	0.0	967
D568_RS0106550	QEP52095.1|GH167	69.3	815	244	1	1	815	1	809	0.0	1173
D568_RS0106575	AEE61375.1|CBM6|GH86	93.1	1351	90	1	1	1351	6	1353	0.0	2389
D568_RS0106585	QPI70198.1|GH50	68.3	780	244	2	1	779	1	778	0.0	1112
D568_RS0106625	ABD81910.1|GH86|3.2.1.81	50.7	653	294	9	24	666	149	783	3.53e-229	662
D568_RS21015	AMX03782.1|CBM6	72.0	468	124	3	18	479	10	476	6.43e-251	697
