dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH16_e48	GH16_16:68|CBM6:24|CBM13:2	3.2.1.81:11|3.2.1.178:1	agarose, porphyran	246	D568_RS0106305	587	9.7e-121	1	246	46	289	0.9959349593495935	0.9959349593495935
CBM6_e89	CBM6:24|GH16_16:24	3.2.1.81:7	beta-glucan, xylan, cellulose	113	D568_RS0106305	587	4.1e-47	2	113	328	439	0.9823008849557522	0.9823008849557522
CBM6_e64	CBM6:5|GH86:2|GH16:2|GH16_14:1	3.2.1.81:1	beta-glucan, xylan, cellulose	124	D568_RS0106305	587	5.1e-36	1	124	462	585	0.9919354838709677	0.9919354838709677
GH50_e8	GH50:162	3.2.1.81:19	agarose	673	D568_RS0106315	772	0	2	672	90	766	0.9955423476968797	0.9955423476968797
GH16_e48	GH16_16:68|CBM6:24|CBM13:2	3.2.1.81:11|3.2.1.178:1	agarose, porphyran	246	D568_RS0106365	441	6.6e-122	1	246	44	289	0.9959349593495935	0.9959349593495935
CBM13_e230	CBM13:29|GH16_16:28	3.2.1.81:9|3.2.1.178:1	xylan	138	D568_RS0106365	441	2.8e-53	3	138	308	441	0.9782608695652174	0.9782608695652174
GH50_e8	GH50:162	3.2.1.81:19	agarose	673	D568_RS0106380	762	0	2	673	84	758	0.9970282317979198	0.9970282317979198
GH117_e12	GH117:90	3.2.1.159:2	agarose	155	D568_RS0106400	410	1e-67	2	145	79	224	0.9225806451612903	0.9225806451612903
GH16_e110	GH16:15	-	-	200	D568_RS0106410	402	1.7e-52	1	163	37	209	0.81	0.81
GH16_e138	GH16:7	-	-	193	D568_RS0106410	402	1.2e-33	103	193	305	400	0.46632124352331605	0.46632124352331605
GH2_e114	GH2:27	-	-	720	D568_RS0106425	788	0	3	718	3	718	0.9930555555555556	0.9930555555555556
GH50_e5	GH50:13	-	-	621	D568_RS0106470	735	7.3e-275	2	621	84	701	0.9967793880837359	0.9967793880837359
GH127_e13	GH127:56	3.2.1.-:2	carrageenan	540	D568_RS0106510	660	2.6e-282	1	540	32	570	0.9981481481481481	0.9981481481481481
GH167_e0	GH167:23|CBM50:1	3.2.1.-:1	carrageenan	757	D568_RS0106550	817	0	1	756	58	813	0.9973579920739762	0.9973579920739762
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	D568_RS0106565	268	4.2e-16	13	201	44	253	0.912621359223301	0.912621359223301
CBM6_e38	CBM6:29|GH86:24|GH16_16:4	3.2.1.81:3	beta-glucan, xylan, cellulose	124	D568_RS0106575	1351	5.7e-45	1	123	36	166	0.9838709677419355	0.9838709677419355
CBM6_e38	CBM6:29|GH86:24|GH16_16:4	3.2.1.81:3	beta-glucan, xylan, cellulose	124	D568_RS0106575	1351	1.8e-42	1	123	184	314	0.9838709677419355	0.9838709677419355
CBM6_e38	CBM6:29|GH86:24|GH16_16:4	3.2.1.81:3	beta-glucan, xylan, cellulose	124	D568_RS0106575	1351	7.2e-34	1	123	384	508	0.9838709677419355	0.9838709677419355
GH86_e4	GH86:29|CBM6:26	3.2.1.81:3	agarose	399	D568_RS0106575	1351	2.2e-45	19	360	652	885	0.8546365914786967	0.8546365914786967
GH86_e4	GH86:29|CBM6:26	3.2.1.81:3	agarose	399	D568_RS0106575	1351	2.7e-165	1	399	922	1344	0.9974937343358395	0.9974937343358395
GH50_e8	GH50:162	3.2.1.81:19	agarose	673	D568_RS0106585	782	0	1	672	90	775	0.9970282317979198	0.9970282317979198
GH86_e5	GH86:20	3.2.1.81:2	agarose	642	D568_RS0106625	668	6.4e-243	2	641	19	659	0.9953271028037384	0.9953271028037384
CBM6_e45	CBM6:6	-	beta-glucan, xylan, cellulose	130	D568_RS21015	479	3.1e-58	1	129	89	217	0.9846153846153847	0.9846153846153847
