HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH16_16.hmm	246	D568_RS0106305	587	3.9e-108	1	246	45	288	0.9959349593495935
CBM6.hmm	138	D568_RS0106305	587	5.8e-20	36	137	334	438	0.7318840579710145
CBM6.hmm	138	D568_RS0106305	587	3.4e-22	18	137	461	585	0.8623188405797102
GH50.hmm	653	D568_RS0106315	772	1.6e-202	12	652	91	766	0.9800918836140888
GH16_16.hmm	246	D568_RS0106365	441	4.4e-111	1	246	43	288	0.9959349593495935
CBM13.hmm	188	D568_RS0106365	441	1.2e-31	8	133	308	440	0.6648936170212766
GH50.hmm	653	D568_RS0106380	762	3.5e-206	8	653	81	758	0.9877488514548239
GH117.hmm	211	D568_RS0106400	410	2.4e-51	2	142	77	230	0.6635071090047393
GH16_3.hmm	230	D568_RS0106410	402	2.4e-19	1	134	36	162	0.5782608695652174
GH2.hmm	752	D568_RS0106425	788	2.2e-94	36	586	13	750	0.7313829787234043
GH50.hmm	653	D568_RS0106470	735	8.4e-160	5	652	81	700	0.9908116385911179
GH127.hmm	524	D568_RS0106510	660	4.5e-190	2	524	31	569	0.9961832061068703
GH167.hmm	717	D568_RS0106550	817	9.8e-293	1	717	57	813	0.99860529986053
CE1.hmm	227	D568_RS0106565	268	4.7e-37	4	221	29	259	0.9559471365638766
CBM6.hmm	138	D568_RS0106575	1351	6.3e-18	30	137	53	166	0.7753623188405797
CBM6.hmm	138	D568_RS0106575	1351	1.1e-18	17	137	382	508	0.8695652173913043
GH86.hmm	591	D568_RS0106575	1351	3e-65	3	213	651	884	0.3553299492385787
GH86.hmm	591	D568_RS0106575	1351	2.6e-135	202	590	917	1343	0.6565143824027073
GH50.hmm	653	D568_RS0106585	782	1.1e-211	6	652	86	775	0.9892802450229708
GH86.hmm	591	D568_RS0106625	668	3.5e-190	5	589	18	658	0.988155668358714
CBM6.hmm	138	D568_RS21015	479	1.1e-29	11	137	90	217	0.9130434782608695
