Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
D568_RS0106305	3.2.1.81:11|3.2.1.178:1|3.2.1.81:7|3.2.1.81:1	GH16_16(45-288)+CBM6(334-438)+CBM6(461-585)	GH16_e48+CBM6_e89+CBM6_e64	CBM6+GH16_16	3
D568_RS0106315	3.2.1.81:19	GH50(91-766)	GH50_e8	GH50	3
D568_RS0106365	3.2.1.81:11|3.2.1.178:1|3.2.1.81:9|3.2.1.178:1	GH16_16(43-288)+CBM13(308-440)	GH16_e48+CBM13_e230	CBM13+GH16_16	3
D568_RS0106380	3.2.1.81:19	GH50(81-758)	GH50_e8	GH50	3
D568_RS0106400	3.2.1.159:2|3.2.1.159:2	GH117(77-230)	GH117_e12+GH117_e12	GH117	3
D568_RS0106410	-|-	GH16_3(36-162)	GH16_e110+GH16_e138	GH16	3
D568_RS0106425	-	GH2(13-750)	GH2_e114	GH2	3
D568_RS0106470	-	GH50(81-700)	GH50_e5	GH50	3
D568_RS0106510	3.2.1.-:2	GH127(31-569)	GH127_e13	GH127	3
D568_RS0106550	3.2.1.-:1	GH167(57-813)	GH167_e0	GH167	3
D568_RS0106565	-	CE1(29-259)	CE1_e22	-	2
D568_RS0106575	3.2.1.81:3|3.2.1.81:3|3.2.1.81:3|3.2.1.81:3|3.2.1.81:3	CBM6(53-166)+CBM6(382-508)+GH86(651-884)+GH86(917-1343)	CBM6_e38+CBM6_e38+CBM6_e38+GH86_e4+GH86_e4	CBM6+GH86	3
D568_RS0106585	3.2.1.81:19	GH50(86-775)	GH50_e8	GH50	3
D568_RS0106625	3.2.1.81:2	GH86(18-658)	GH86_e5	GH86+3.2.1.81	3
D568_RS21015	-	CBM6(90-217)	CBM6_e45	CBM6	3
D568_RS0106335	-	-	-	CBM38	1
D568_RS0106355	-	-	-	GH16_3	1
D568_RS0106415	-	-	-	GH16_3	1
D568_RS0106505	-	-	-	GH16_3	1
