SBP_bac_1	315	PRU_RS14010	468	5.2e-09	13	310	80	347	0.9428571428571428
Reg_prop	24	PRU_RS14015	1348	3.3e-05	1	23	76	98	0.9166666666666666
Reg_prop	24	PRU_RS14015	1348	7.5e-06	2	21	289	308	0.7916666666666666
Reg_prop	24	PRU_RS14015	1348	2.5e-06	6	23	382	399	0.7083333333333334
Reg_prop	24	PRU_RS14015	1348	6.6e-05	4	23	423	442	0.7916666666666666
Y_Y_Y	66	PRU_RS14015	1348	2e-07	2	64	700	758	0.9393939393939394
HisKA	64	PRU_RS14015	1348	6.9e-16	2	64	811	875	0.96875
HATPase_c	111	PRU_RS14015	1348	1.9e-24	3	109	923	1030	0.954954954954955
Response_reg	112	PRU_RS14015	1348	3.2e-27	2	110	1084	1192	0.9642857142857143
HTH_18	81	PRU_RS14015	1348	6.4e-28	1	80	1251	1329	0.9753086419753086
