Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
FG27_RS08040	3.2.1.-:8|3.2.1.113:1|3.2.1.114:1|3.2.1.24:1	GH92(284-780)	GH92_e0	GH92	3
FG27_RS08045	3.2.1.113:6|3.2.1.-:1	GH92(237-745)	GH92_e18	GH92	3
FG27_RS08050	3.2.1.146:1	GH43_34(44-322)	GH43_e147	GH43_34	3
FG27_RS08060	-	AA3(2-572)	AA3_e4	-	2
FG27_RS08070	3.2.1.-:4	GH125(66-465)	GH125_e1	GH125	3
FG27_RS08080	-	CBM32(139-249)	CBM32_e124	-	2
FG27_RS08095	3.2.1.113:6|3.2.1.-:1	GH92(238-743)	GH92_e18	GH92	3
FG27_RS08105	-	GH92(220-669)	GH92_e11	GH92	3
FG27_RS08115	-	GH177(47-300)	-	-	1
FG27_RS08135	-	GH92(258-730)	GH92_e16	GH92	3
FG27_RS08140	-	GH76(60-371)	GH76_e32	GH76	3
FG27_RS08155	-	GH2(52-508)	GH2_e14	GH2	3
FG27_RS08165	-	GH92(259-778)	GH92_e38	GH92	3
FG27_RS08110	-	-	-	CBM73	1
