Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
FG27_RS08040	APS40687.1|GH92	98.3	749	13	0	41	789	1	749	0.0	1539
FG27_RS08045	APS37740.1|GH92	98.3	764	13	0	1	764	1	764	0.0	1563
FG27_RS08050	APS40688.1|GH43_34	95.9	319	13	0	23	341	1	319	5.74e-242	662
FG27_RS08070	APS37744.1|GH125	99.4	477	3	0	1	477	1	477	0.0	992
FG27_RS08095	APU67006.1|GH92	71.6	763	217	0	1	763	7	769	0.0	1180
FG27_RS08105	APU67018.1|GH92	71.0	676	194	2	17	691	10	684	0.0	1028
FG27_RS08110	QKX06709.1|CBM73	58.2	402	165	3	8	408	7	406	1.47e-164	490
FG27_RS08135	APS37751.1|GH92	84.1	734	117	0	1	734	1	734	0.0	1304
FG27_RS08140	APS37752.1|GH76	87.4	389	48	1	1	388	9	397	6.05e-246	677
FG27_RS08155	APS37754.1|GH2	85.1	590	88	0	13	602	13	602	0.0	1095
FG27_RS08165	AWW32955.1|GH92	76.4	779	181	2	10	786	12	789	0.0	1256
