CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	JABKKG010000004	HPS57_07915	1981	5139	-	1.B.14.6.1
CGC1	null	JABKKG010000004	HPS57_07920	5515	7116	-	null
CGC1	STP	JABKKG010000004	HPS57_07925	7344	8003	+	Pribosyltran
CGC1	TC	JABKKG010000004	HPS57_07930	8236	9636	-	2.A.66.1.28
CGC1	CAZyme	JABKKG010000004	HPS57_07935	9952	11310	-	GH28| GH28
CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	JABKKG010000004	HPS57_07915	1981	5139	-	1.B.14.6.1
CGC1	null	JABKKG010000004	HPS57_07920;Parent	5515	7116	-	null
CGC1	STP	JABKKG010000004	HPS57_07925	7344	8003	+	Pribosyltran
CGC1	TC	JABKKG010000004	HPS57_07930	8236	9636	-	2.A.66.1.28
CGC1	CAZyme	JABKKG010000004	HPS57_07935	9952	11310	-	GH28
