CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	NZ_CP090615	LZI70_RS17655	11	1186	-	2.A.1.81.1
CGC1	TF	NZ_CP090615	LZI70_RS17660	1347	2243	+	HTH_1
CGC1	TC	NZ_CP090615	LZI70_RS17665	2439	4205	-	2.A.21.3.13
CGC1	TC	NZ_CP090615	LZI70_RS17670	5205	5879	+	1.B.35.1.4
CGC1	TF	NZ_CP090615	LZI70_RS17675	5999	6718	-	GntR
CGC1	TF	NZ_CP090615	LZI70_RS17680	7383	8114	+	GntR
CGC1	null	NZ_CP090615	LZI70_RS17685;Parent	8178	9563	+	null
CGC1	null	NZ_CP090615	LZI70_RS17690;Parent	9608	10582	-	null
CGC1	TC	NZ_CP090615	LZI70_RS17695	10834	11598	-	3.A.1.14.7
CGC1	TC	NZ_CP090615	LZI70_RS17700	11611	12561	-	3.A.1.14.18
CGC1	TC	NZ_CP090615	LZI70_RS17705	12554	13507	-	3.A.1.14.21
CGC1	STP	NZ_CP090615	LZI70_RS17710	13604	14539	-	Peripla_BP_2
CGC1	null	NZ_CP090615	LZI70_RS17715;Parent	15212	15421	+	null
CGC1	CAZyme	NZ_CP090615	LZI70_RS17720	15676	17826	-	PL17_2|PL17
CGC1	CAZyme	NZ_CP090615	LZI70_RS17725	17829	20012	-	PL17_2|PL17
CGC1	STP	NZ_CP090615	LZI70_RS17730	20345	20680	+	AraC_binding
CGC1	STP	NZ_CP090615	LZI70_RS17735	20715	21653	+	PfkB
CGC1	null	NZ_CP090615	LZI70_RS17740;Parent	21784	22410	+	null
CGC1	TC	NZ_CP090615	LZI70_RS17745	22884	24641	+	2.A.21.3.11
CGC1	null	NZ_CP090615	LZI70_RS17750;Parent	24802	25395	-	null
CGC1	null	NZ_CP090615	LZI70_RS17755;Parent	25688	26185	-	null
CGC1	TC	NZ_CP090615	LZI70_RS17760	26258	29377	-	2.A.6.1.4
CGC1	TC	NZ_CP090615	LZI70_RS17765	29380	31092	-	2.A.6.1.8
CGC1	null	NZ_CP090615	LZI70_RS17770;Parent	31102	32529	-	null
CGC1	null	NZ_CP090615	LZI70_RS17775;Parent	32662	33069	-	null
CGC1	TC	NZ_CP090615	LZI70_RS17780	33401	35336	+	1.B.52.2.1
