HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH33.hmm	342	JM81_RS13695	365	1.8e-38	15	330	54	354	0.9210526315789473
GH29.hmm	346	JM81_RS13700	472	6.6e-107	22	346	22	382	0.9364161849710982
GH177.hmm	347	JM81_RS13705	452	1.9e-31	2	305	41	361	0.8731988472622478
CE12.hmm	210	JM81_RS13805	410	4.4e-69	2	210	161	365	0.9904761904761905
GH2.hmm	752	JM81_RS13810	951	2.9e-123	35	739	38	810	0.9361702127659575
CE12.hmm	210	JM81_RS13815	503	6.6e-62	1	209	29	248	0.9904761904761905
CE12.hmm	210	JM81_RS13815	503	1.7e-56	1	210	273	486	0.9952380952380953
GH115.hmm	697	JM81_RS13820	813	4.7e-233	4	697	26	796	0.994261119081779
GH28.hmm	325	JM81_RS13830	493	1.8e-71	7	321	80	465	0.9661538461538461
GH105.hmm	332	JM81_RS13845	433	7.7e-97	11	331	82	413	0.963855421686747
GH31_9.hmm	442	JM81_RS13880	624	6e-227	1	378	240	617	0.8529411764705882
GH106.hmm	824	JM81_RS13885	942	2.4e-265	9	823	66	937	0.9878640776699029
GH105.hmm	332	JM81_RS13890	374	1.8e-89	6	332	53	372	0.9819277108433735
GH43_18.hmm	229	JM81_RS13895	593	3.3e-94	2	229	353	582	0.9912663755458515
CBM67.hmm	176	JM81_RS13900	1211	1.2e-30	11	172	400	577	0.9147727272727273
GH78.hmm	504	JM81_RS13900	1211	5.2e-155	2	503	612	1164	0.9940476190476191
GH179.hmm	338	JM81_RS13905	326	1.2e-25	6	257	23	264	0.742603550295858
