Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
JM81_RS13695	UBZ09162.1|GH33	63.0	349	121	3	17	364	10	351	5.58e-159	454
JM81_RS13700	UBZ09158.1|GH29	74.3	455	117	0	17	471	27	481	1.81e-271	749
JM81_RS13770	AEI52017.1|CE6	39.2	525	267	13	27	540	290	773	1.96e-106	341
JM81_RS13805	UTN02735.1|CE12	58.7	407	166	2	5	410	37	442	7.44e-169	485
JM81_RS13810	AOZ98787.1|GH2	68.8	939	291	2	13	950	18	955	0.0	1404
JM81_RS13815	UKM63835.1|CE12	66.6	500	165	2	1	500	1	498	4.35e-254	707
JM81_RS13820	AWK06318.1|GH115	57.5	815	336	5	3	811	2	812	0.0	981
JM81_RS13825	ADE82894.1|GH105|GH28	45.6	710	363	8	26	713	887	1595	2.28e-203	622
JM81_RS13830	AVR45637.1|GH28	72.4	493	135	1	1	493	1	492	1.05e-266	738
JM81_RS13845	ASO05128.1|GH105	78.0	428	94	0	5	432	26	453	1.70e-259	716
JM81_RS13880	AYN66298.1|GH31	72.7	615	168	0	1	615	1	615	0.0	981
JM81_RS13885	UKM63854.1|GH106	61.5	881	339	0	59	939	31	911	0.0	1152
JM81_RS13890	AXP80164.1|GH105	79.4	374	77	0	1	374	1	374	1.09e-236	652
JM81_RS13895	AYN66294.1|GH43_18	67.1	578	190	0	15	592	17	594	9.16e-301	833
JM81_RS13900	AYN67685.1|GH78	64.4	1193	419	3	18	1209	14	1201	0.0	1593
