CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NZ_VISB01000001	JM81_RS13695	3567	4664	-	GH33
CGC1	CAZyme	NZ_VISB01000001	JM81_RS13700	4676	6094	-	GH29
CGC1	null	NZ_VISB01000001	JM81_RS13705;Parent	6545	7903	+	null
CGC1	null	NZ_VISB01000001	JM81_RS13710;Parent	7916	8992	+	null
CGC1	null	NZ_VISB01000001	JM81_RS13715;Parent	8998	9603	+	null
CGC1	TF	NZ_VISB01000001	JM81_RS13720	9682	10719	+	LacI
CGC1	TC	NZ_VISB01000001	JM81_RS13725	10799	12457	-	8.A.46.1.6
CGC1	TC	NZ_VISB01000001	JM81_RS13730	12499	15573	-	1.B.14.6.1
CGC1	null	NZ_VISB01000001	JM81_RS13735;Parent	15956	16849	-	null
CGC1	null	NZ_VISB01000001	JM81_RS13740;Parent	17091	18305	+	null
CGC1	null	NZ_VISB01000001	JM81_RS13745;Parent	18551	21592	+	null
CGC1	TF	NZ_VISB01000001	JM81_RS13750	21799	22659	-	HTH_AraC
CGC1	STP	NZ_VISB01000001	JM81_RS13755	22868	23452	+	SIS
CGC1	null	NZ_VISB01000001	JM81_RS13760;Parent	23502	24131	+	null
CGC1	null	NZ_VISB01000001	JM81_RS13765;Parent	24328	24540	+	null
CGC1	null	NZ_VISB01000001	JM81_RS18460;Parent	24608	24745	-	null
CGC1	null	NZ_VISB01000001	JM81_RS13770;Parent	24868	26499	-	null
CGC1	TC	NZ_VISB01000001	JM81_RS13775	26681	28102	-	2.A.39.5.1
CGC1	null	NZ_VISB01000001	JM81_RS13780;Parent	28117	29268	-	null
CGC1	null	NZ_VISB01000001	JM81_RS13785;Parent	29278	30648	-	null
CGC1	null	NZ_VISB01000001	JM81_RS13790;Parent	30652	31932	-	null
CGC1	null	NZ_VISB01000001	JM81_RS13795;Parent	32002	34098	-	null
CGC1	TF	NZ_VISB01000001	JM81_RS13800	34298	35344	+	GntR
CGC1	CAZyme	NZ_VISB01000001	JM81_RS13805	35518	36750	+	CE12
CGC1	CAZyme	NZ_VISB01000001	JM81_RS13810	36764	39619	+	GH2
CGC1	CAZyme	NZ_VISB01000001	JM81_RS13815	39622	41133	+	CE12|CE12
CGC1	CAZyme	NZ_VISB01000001	JM81_RS13820	41138	43579	-	GH115
CGC1	null	NZ_VISB01000001	JM81_RS13825;Parent	43587	45731	-	null
CGC1	CAZyme	NZ_VISB01000001	JM81_RS13830	45753	47234	-	GH28
CGC1	null	NZ_VISB01000001	JM81_RS13835;Parent	47272	47586	-	null
CGC1	null	NZ_VISB01000001	JM81_RS13840;Parent	47591	48946	-	null
CGC1	CAZyme	NZ_VISB01000001	JM81_RS13845	48950	50251	-	GH105
CGC1	null	NZ_VISB01000001	JM81_RS13850;Parent	50325	51602	-	null
CGC1	null	NZ_VISB01000001	JM81_RS13855;Parent	51615	52874	-	null
CGC1	TC	NZ_VISB01000001	JM81_RS13860	52969	54546	-	8.A.46.1.6
CGC1	TC	NZ_VISB01000001	JM81_RS13865	54579	57563	-	1.B.14.6.1
CGC1	null	NZ_VISB01000001	JM81_RS13870;Parent	57807	59750	-	null
CGC1	TC	NZ_VISB01000001	JM81_RS13875	59783	62914	-	1.B.14.6.1
CGC1	null	NZ_VISB01000001	JM81_RS18530;Parent	63171	63722	-	null
CGC1	CAZyme	NZ_VISB01000001	JM81_RS13880	63719	65593	-	GH31_9
CGC1	CAZyme	NZ_VISB01000001	JM81_RS13885	65701	68529	+	GH106
CGC1	CAZyme	NZ_VISB01000001	JM81_RS13890	68540	69664	+	GH105
CGC1	CAZyme	NZ_VISB01000001	JM81_RS13895	69689	71470	+	GH43_18
CGC1	CAZyme	NZ_VISB01000001	JM81_RS13900	71544	75179	+	CBM67|GH78
CGC1	CAZyme	NZ_VISB01000001	JM81_RS13905	75221	76201	-	GH179
