Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
JM81_RS13695	-	GH33(54-354)	GH33_e138	GH33	3
JM81_RS13700	3.2.1.111:1	GH29(22-382)	GH29_e7	GH29	3
JM81_RS13705	-	GH177(41-361)	-	-	1
JM81_RS13805	-	CE12(161-365)	CE12_e37	CE12	3
JM81_RS13810	3.2.1.-:1|3.2.1.23:1	GH2(38-810)	GH2_e106	GH2	3
JM81_RS13815	-|-	CE12(29-248)+CE12(273-486)	CE12_e36+CE12_e36	CE12	3
JM81_RS13820	-	GH115(26-796)	GH115_e6	GH115	3
JM81_RS13830	3.2.1.173:1	GH28(80-465)	GH28_e139	GH28	3
JM81_RS13845	3.2.1.172:1	GH105(82-413)	GH105_e7	GH105	3
JM81_RS13880	-	GH31_9(240-617)	GH31_e67	GH31	3
JM81_RS13885	3.2.1.174:1	GH106(66-937)	GH106_e0	GH106	3
JM81_RS13890	3.2.1.172:1	GH105(53-372)	GH105_e17	GH105	3
JM81_RS13895	-	GH43_18(353-582)	GH43_e96	GH43_18	3
JM81_RS13900	3.2.1.40:1|-	CBM67(400-577)+GH78(612-1164)	CBM67_e28+GH78_e85	GH78	3
JM81_RS13905	-	GH179(23-264)	GH109_e7	-	2
JM81_RS13770	-	-	-	CE6	1
JM81_RS13825	-	-	-	GH105+GH28	1
