dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH33_e138	GH33:21	-	-	299	JM81_RS13695	365	1.3e-124	2	299	54	352	0.9933110367892977	0.9933110367892977
GH29_e7	GH29:294	3.2.1.111:1	host glycan	366	JM81_RS13700	472	2.8e-183	5	366	24	383	0.9863387978142076	0.9863387978142076
CE12_e37	CE12:111|GH106:1	-	-	206	JM81_RS13805	410	7.7e-101	1	206	161	366	0.9951456310679612	0.9951456310679612
GH2_e106	GH2:268|CBM32:3	3.2.1.-:1|3.2.1.23:1	pectin, beta-galactan	760	JM81_RS13810	951	0	1	760	39	817	0.9986842105263158	0.9986842105263158
CE12_e36	CE12:119|CBM13:1	-	-	217	JM81_RS13815	503	1.4e-97	1	216	30	249	0.9907834101382489	0.9907834101382489
CE12_e36	CE12:119|CBM13:1	-	-	217	JM81_RS13815	503	7.6e-87	1	217	274	487	0.9953917050691244	0.9953917050691244
GH115_e6	GH115:205|GH159:1	-	-	764	JM81_RS13820	813	0	1	763	26	796	0.9973821989528796	0.9973821989528796
GH28_e139	GH28:134|GH43_18:1	3.2.1.173:1	pectin	371	JM81_RS13830	493	1.4e-191	1	370	81	451	0.9946091644204852	0.9946091644204852
GH105_e7	GH105:159|CE12:9	3.2.1.172:1	pectin	331	JM81_RS13845	433	1e-176	1	331	84	414	0.9969788519637462	0.9969788519637462
GH31_e67	GH31:41|GH2:1	-	-	442	JM81_RS13880	624	2.7e-225	1	378	241	618	0.8529411764705882	0.8529411764705882
GH106_e0	GH106:213|CE12:1	3.2.1.174:1	pectin	900	JM81_RS13885	942	0	5	900	67	938	0.9944444444444445	0.9944444444444445
GH105_e17	GH105:172|CE12:1	3.2.1.172:1	pectin	319	JM81_RS13890	374	9.7e-174	1	319	55	373	0.9968652037617555	0.9968652037617555
GH43_e96	GH43_18:62|CBM66:2|GH51:2|GH43:1	-	-	230	JM81_RS13895	593	1.1e-121	1	230	354	583	0.9956521739130435	0.9956521739130435
CBM67_e28	CBM67:192|GH78:190|CBM0:1|CBM66:1	3.2.1.40:1	rhamnose	186	JM81_RS13900	1211	1.5e-56	15	178	400	574	0.8763440860215054	0.8763440860215054
GH78_e85	GH78:65|CBM67:2	-	-	539	JM81_RS13900	1211	2.9e-274	1	538	613	1165	0.9962894248608535	0.9962894248608535
GH109_e7	GH109:31	-	-	390	JM81_RS13905	326	7.4e-18	18	182	22	184	0.4205128205128205	0.4205128205128205
