Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
CCEL_RS06160	3.2.1.55:2|3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	GH43_16(31-314)+CBM6(336-459)	GH43_e188+CBM6_e0	CBM6+GH43_16	3
CCEL_RS06165	3.2.1.8:13|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1	GH10(56-325)+CBM6(347-468)	GH10_e21+CBM6_e34	CBM6+GH10	3
CCEL_RS06170	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1|3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	GH43_29(26-307)+CBM6(330-452)	GH43_e59+CBM6_e0	CBM6+GH43_29	3
CCEL_RS06175	-|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1	CE1(64-277)+CBM6(300-421)	CE1_e22+CBM6_e34	CBM6+CE0	3
CCEL_RS06180	-|-|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1	GH43_10(36-300)+CBM91(344-535)+CBM6(553-675)	GH43_e41+CBM91_e20+CBM6_e34	CBM6+GH43_10	3
CCEL_RS06185	-|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1	GH62(46-294)+CBM6(339-463)	GH62_e2+CBM6_e34	CBM6+GH62	3
CCEL_RS06190	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1|3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	GH43_29(26-297)+CBM6(318-441)	GH43_e59+CBM6_e0	CBM6+GH43_29	3
CCEL_RS06195	-|3.2.1.8:2	GH146(42-550)+CBM22(651-782)	GH146_e11+CBM22_e9	CBM22+GH146	3
CCEL_RS06200	3.2.1.22:58|2.4.1.-:1|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1	GH27(136-373)+CBM6(408-529)	GH27_e14+CBM6_e34	CBM6+GH27+3.2.1.22	3
CCEL_RS06205	-|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1	GH59(46-775)+CBM6(928-1049)	GH59_e1+CBM6_e34	CBM6+GH59	3
CCEL_RS06210	3.2.1.23:2|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1	GH2(49-743)+CBM6(819-943)	GH2_e127+CBM6_e34	CBM6+GH2	3
CCEL_RS06215	-|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1|-	GH62(46-294)+CBM6(338-462)+CE6(611-703)	GH62_e2+CBM6_e34+CE6_e6	CBM6+CE6+GH62	3
CCEL_RS06220	3.2.1.-:3|3.2.1.63:2|-|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1	GH95(75-797)+CBM32(830-954)+CBM6(973-1093)	GH95_e1+CBM32_e117+CBM6_e34	CBM32+CBM6+GH95	3
CCEL_RS06225	3.2.1.8:16|3.2.1.136:8|3.2.1.8:4|3.1.1.73:3|3.2.1.22:2|3.2.1.55:1	GH30_8(35-378)+CBM6(437-558)	GH30_e78+CBM6_e34	CBM6+GH30_8	3
