Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
ACI5KW_RS17955	QDT08292.1|CBM38	60.8	446	153	3	29	465	734	1166	1.90e-181	544
ACI5KW_RS17985	QDT08286.1|GH95	79.9	822	165	0	4	825	13	834	0.0	1388
ACI5KW_RS17995	ASV75032.1|GH116	38.3	1144	622	20	41	1151	24	1116	1.53e-253	754
ACI5KW_RS18000	QNN24653.1|GH29	56.3	430	186	2	31	459	23	451	5.91e-175	508
ACI5KW_RS18005	QDT08292.1|CBM38	63.6	451	144	4	33	478	735	1170	2.95e-203	600
ACI5KW_RS18010	SPS73666.1|GH117	42.2	438	233	9	33	467	326	746	1.14e-109	347
ACI5KW_RS18015	SPS73666.1|GH117	68.6	455	141	2	25	479	322	774	2.13e-236	673
ACI5KW_RS18020	QDV84698.1|CBM38	68.4	491	153	2	29	518	27	516	3.46e-257	724
ACI5KW_RS18025	QTJ01951.1|GH29	75.5	481	114	3	11	490	23	500	1.89e-272	753
ACI5KW_RS18030	QDV66019.1|GH29	45.1	490	233	6	31	505	25	493	1.35e-136	430
