PUL#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
PUL0658	CDS	NC_021020	FPR_RS08610	1	915	-	null
PUL0658	CDS	NC_021020	FPR_RS08615	1049	2734	-	null
PUL0658	CAZyme	NC_021020	FPR_RS08620	2739	4904	-	GH36
PUL0658	TC	NC_021020	FPR_RS08625	4901	5581	-	9.B.28.1.2
PUL0658	CAZyme	NC_021020	FPR_RS08630	5619	6809	-	GH130
PUL0658	CDS	NC_021020	FPR_RS08635	6796	7977	-	null
PUL0658	CAZyme	NC_021020	FPR_RS08640	8120	9139	-	GH130
PUL0658	TC	NC_021020	FPR_RS08645	9392	10237	-	3.A.1.1.34
PUL0658	TC	NC_021020	FPR_RS08650	10254	11201	-	3.A.1.1.28
PUL0658	STP	NC_021020	FPR_RS08655	11273	12685	-	SBP_bac_1
PUL0658	TF	NC_021020	FPR_RS08660	13081	14067	+	LacI
PUL0658	CAZyme	NC_021020	FPR_RS08665	14184	15296	-	CE2
PUL0658	CAZyme	NC_021020	FPR_RS08670	15569	16498	+	GH113
PUL0658	CAZyme	NC_021020	FPR_RS08675	16495	17574	+	CE17+CBM35+CBM35
