PUL#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
PUL0641	CDS	NZ_DS499729	ANACAC_RS03030	1	8	-	null
PUL0641	TF	NZ_DS499729	ANACAC_RS03035	1	318	-	PadR
PUL0641	STP	NZ_DS499729	ANACAC_RS03040	477	1448	-	PfkB
PUL0641	CAZyme	NZ_DS499729	ANACAC_RS03045	1445	2908	-	GH32
PUL0641	TC	NZ_DS499729	ANACAC_RS03050	2919	4832	-	4.A.1.2.12
PUL0641	CDS	NZ_DS499729	ANACAC_RS03055	5003	6037	-	null
PUL0641	STP	NZ_DS499729	ANACAC_RS03060	6034	6588	-	Sigma70_r2+Sigma70_r4_2
PUL0641	TF	NZ_DS499729	ANACAC_RS03065	6716	7705	-	LacI
PUL0641	TF	NZ_DS499729	ANACAC_RS03070	7846	8289	+	MarR
PUL0641	CDS	NZ_DS499729	ANACAC_RS03075	8286	8289	+	null
