HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH78.hmm	504	BVU_RS00895	593	3.5e-98	3	499	92	591	0.9841269841269841
CE15.hmm	269	BVU_RS00900	427	1.3e-98	1	268	44	425	0.9925650557620818
PL11.hmm	606	BVU_RS00905	617	9.3e-167	3	571	56	617	0.9372937293729373
GH106.hmm	824	BVU_RS00910	1095	3.2e-86	2	654	37	707	0.7912621359223301
GH28.hmm	325	BVU_RS00910	1095	8.8e-74	10	317	735	1068	0.9446153846153846
GH105.hmm	332	BVU_RS00915	376	1.2e-93	6	332	55	374	0.9819277108433735
GH42.hmm	371	BVU_RS00920	704	8.6e-128	2	370	49	423	0.9919137466307277
GH43_18.hmm	229	BVU_RS00925	784	3.2e-88	2	229	67	301	0.9912663755458515
GH43_34.hmm	280	BVU_RS00925	784	4.4e-69	1	280	318	611	0.9964285714285714
CBM32.hmm	124	BVU_RS00925	784	8.3e-17	17	119	679	783	0.8225806451612904
GH2.hmm	752	BVU_RS00930	955	1.6e-73	26	590	19	762	0.75
CE12.hmm	210	BVU_RS00935	424	4.4e-74	1	210	174	379	0.9952380952380953
GH28.hmm	325	BVU_RS00940	494	5.9e-64	6	309	80	446	0.9323076923076923
GH28.hmm	325	BVU_RS00955	474	3e-64	9	309	48	394	0.9230769230769231
GH106.hmm	824	BVU_RS00960	940	0	3	823	19	915	0.9951456310679612
