Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
BVU_RS00895	QQY39772.1|GH78	100	593	0	0	1	593	1	593	0.0	1224
BVU_RS00900	QQY39771.1|CE15	100	427	0	0	1	427	1	427	0.0	907
BVU_RS00905	QQY39770.1|PL11	100	617	0	0	1	617	1	617	0.0	1300
BVU_RS00910	ABR37905.1|GH106|GH28	100	1095	0	0	1	1095	1	1095	0.0	2251
BVU_RS00915	QQY40414.1|GH105	100	376	0	0	1	376	1	376	1.17e-298	809
BVU_RS00920	QQY43069.1|GH42	100	704	0	0	1	704	1	704	0.0	1469
BVU_RS00925	QQY39767.1|CBM32|GH43_18|GH43_34	100	784	0	0	1	784	1	784	0.0	1650
BVU_RS00930	QQY39766.1|GH2	100	955	0	0	1	955	1	955	0.0	1995
BVU_RS00935	ALK86443.1|CE12	100	424	0	0	1	424	1	424	0.0	873
BVU_RS00940	QQY39764.1|GH28	100	494	0	0	1	494	1	494	0.0	1007
BVU_RS00955	QUT56815.1|GH28	100	474	0	0	1	474	1	474	0.0	973
BVU_RS00960	QQY39760.1|GH106	100	920	0	0	1	920	1	920	0.0	1909
