dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH78_e14	GH78:99	-	-	493	BVU_RS00895	593	2.5e-247	1	492	96	591	0.9959432048681541	0.9959432048681541
CE15_e0	CE15:15	-	-	391	BVU_RS00900	427	3.7e-239	1	391	45	426	0.9974424552429667	0.9974424552429667
PL11_e1	PL11:23	-	-	560	BVU_RS00905	617	0	1	560	57	617	0.9982142857142857	0.9982142857142857
GH106_e10	GH106:20|GH28:16	-	-	668	BVU_RS00910	1095	0	1	668	41	705	0.9985029940119761	0.9985029940119761
GH28_e7	GH28:20|GH106:16	-	-	339	BVU_RS00910	1095	2.5e-186	3	339	734	1063	0.9911504424778761	0.9911504424778761
GH105_e17	GH105:172|CE12:1	3.2.1.172:1	pectin	319	BVU_RS00915	376	4.1e-179	2	319	58	375	0.9937304075235109	0.9937304075235109
GH42_e27	GH42:77|GH43_18:9	-	-	376	BVU_RS00920	704	2.5e-198	1	375	50	423	0.9946808510638298	0.9946808510638298
GH43_e84	GH43_18:91|GH43_34:66|CBM32:58|GH42:9|CBM42:1|GH43_20:1|GH43:1	3.2.1.55:2	xylan	233	BVU_RS00925	784	1.1e-111	1	232	68	301	0.9914163090128756	0.9914163090128756
GH43_e191	GH43_34:11|CBM32:8|CBM13:2	3.2.1.55:1	xylan	281	BVU_RS00925	784	1.7e-80	1	281	319	612	0.99644128113879	0.99644128113879
CBM32_e123	CBM32:31|GH43_34:30|GH43_18:28	-	host glycan	106	BVU_RS00925	784	6.3e-57	1	106	679	784	0.9905660377358491	0.9905660377358491
GH2_e125	GH2:201|CBM32:11	3.2.1.23:1	beta-galactan	702	BVU_RS00930	955	0	2	697	20	707	0.99002849002849	0.99002849002849
CE12_e37	CE12:111|GH106:1	-	-	206	BVU_RS00935	424	1.4e-110	1	206	175	380	0.9951456310679612	0.9951456310679612
GH28_e139	GH28:134|GH43_18:1	3.2.1.173:1	pectin	371	BVU_RS00940	494	6.5e-182	1	370	81	451	0.9946091644204852	0.9946091644204852
GH28_e34	GH28:169	3.2.1.173:1	pectin	355	BVU_RS00955	474	5.7e-176	2	354	49	394	0.9915492957746479	0.9915492957746479
GH106_e0	GH106:213|CE12:1	3.2.1.174:1	pectin	900	BVU_RS00960	940	0	1	900	22	916	0.9988888888888889	0.9988888888888889
