Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
BT_0983	ALJ42138.1|GH2	100	882	0	0	1	882	1	882	0.0	1814
BT_0984	AAO76091.1|GH139|3.2.1.-	100	803	0	0	1	803	1	803	0.0	1686
BT_0985	ALJ42140.1|CE20	100	477	0	0	1	477	1	477	0.0	982
BT_0986	AAO76093.1|GH106|3.2.1.40	100	1105	0	0	1	1105	1	1105	0.0	2278
BT_0992	AAO76099.1|GH2|3.2.1.-	100	950	0	0	1	950	1	950	0.0	1979
BT_0993	AAO76100.1|GH2|3.2.1.23	100	1092	0	0	1	1092	1	1092	0.0	2264
BT_0996	QMW88020.1|CBM57|GH137|GH2	100	1418	0	0	1	1418	1	1418	0.0	2972
BT_0997	QMW89332.1|GH138	100	873	0	0	1	873	1	873	0.0	1799
BT_1001	ALJ42159.1|GH78	100	729	0	0	1	729	1	729	0.0	1519
BT_1002	QQA06604.1|GH141	100	619	0	0	1	619	1	619	0.0	1302
BT_1003	ALJ42161.1|GH127	100	698	0	0	1	698	1	698	0.0	1449
BT_1010	AAO76117.1|GH95|3.2.1.-	100	824	0	0	1	824	1	824	0.0	1707
BT_1011	QMW88032.1|GH105	100	400	0	0	1	400	1	400	3.20e-306	830
BT_1012	BCA50077.1|GH140	100	483	0	0	1	483	1	483	0.0	1026
BT_1013	ALJ42170.1|GH33|GH78	100	1290	0	0	1	1290	1	1290	0.0	2693
BT_1014	AAO76121.1|PL0	100	506	0	0	1	506	1	506	0.0	1058
BT_1017	QMW88038.1|CE19	100	653	0	0	1	653	1	653	0.0	1303
BT_1018	AAO76125.1|GH28|3.2.1.67	100	445	0	0	1	445	1	445	0.0	895
BT_1019	QQA06617.1|GH78	100	923	0	0	1	923	31	953	0.0	1901
BT_1020	QMW88040.1|GH142|GH143	100	1109	0	0	1	1109	1	1109	0.0	2331
BT_1021	QMW89335.1|GH43_18	100	283	0	0	1	283	1	283	1.13e-215	592
BT_1023	QMW88042.1|PL1_2	100	579	0	0	1	579	1	579	0.0	1211
