HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH2.hmm	752	BT_0983	882	1.8e-95	27	514	43	642	0.6476063829787234
GH139.hmm	777	BT_0984	803	0	4	775	2	802	0.9922779922779923
CE20.hmm	249	BT_0985	477	3.3e-94	3	248	107	367	0.9839357429718876
GH106.hmm	824	BT_0986	1105	3e-119	94	457	362	724	0.4405339805825243
GH2.hmm	752	BT_0992	950	9.4e-131	35	745	40	830	0.9441489361702128
GH2.hmm	752	BT_0993	1092	3.9e-231	29	750	52	976	0.9587765957446809
GH137.hmm	340	BT_0996	1418	2.4e-160	2	340	26	374	0.9941176470588236
GH2.hmm	752	BT_0996	1418	1.7e-77	21	387	377	820	0.4867021276595745
CBM57.hmm	147	BT_0996	1418	1.8e-46	2	147	1086	1247	0.9863945578231292
CBM97.hmm	127	BT_0996	1418	3.9e-45	2	127	1294	1418	0.984251968503937
GH138.hmm	907	BT_0997	873	0	26	907	2	873	0.9713340683572216
GH78.hmm	504	BT_1001	729	1.3e-116	3	489	186	680	0.9642857142857143
GH141.hmm	527	BT_1002	619	1.3e-233	2	527	21	581	0.9962049335863378
GH127.hmm	524	BT_1003	698	2.3e-193	1	524	44	607	0.9980916030534351
GH95.hmm	722	BT_1010	824	1.6e-294	3	713	29	761	0.9833795013850416
GH105.hmm	332	BT_1011	400	2.1e-122	5	332	49	396	0.9849397590361446
GH140.hmm	412	BT_1012	483	1.9e-179	1	412	36	462	0.9975728155339806
CBM67.hmm	176	BT_1013	1290	2.4e-39	3	170	144	329	0.9488636363636364
GH78.hmm	504	BT_1013	1290	7.4e-162	6	504	357	887	0.9880952380952381
GH33.hmm	342	BT_1013	1290	2.9e-40	13	328	920	1275	0.9210526315789473
CE19.hmm	332	BT_1017	653	1.5e-142	2	331	118	449	0.9909638554216867
GH28.hmm	325	BT_1018	445	7.9e-99	10	309	53	421	0.92
CBM67.hmm	176	BT_1019	923	5.2e-36	27	172	170	325	0.8238636363636364
GH78.hmm	504	BT_1019	923	8.8e-159	3	504	365	903	0.9940476190476191
GH143.hmm	556	BT_1020	1109	1.5e-296	3	556	21	570	0.9946043165467626
GH142.hmm	479	BT_1020	1109	8.9e-234	2	479	634	1101	0.9958246346555324
GH43_18.hmm	229	BT_1021	283	1.6e-89	2	229	40	266	0.9912663755458515
PL1_2.hmm	183	BT_1023	579	1.3e-65	1	183	135	328	0.994535519125683
