Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
BT_0983	3.2.1.-:1	GH2(43-642)	GH2_e50	GH2	3
BT_0984	3.2.1.-:1	GH139(2-802)	GH139_e0	GH139+3.2.1.-	3
BT_0985	-	CE20(107-367)	CE20_e10	CE20	3
BT_0986	3.2.1.40:1	GH106(362-724)	GH106_e44	GH106+3.2.1.40	3
BT_0992	3.2.1.-:1|3.2.1.23:1	GH2(40-830)	GH2_e106	GH2+3.2.1.-	3
BT_0993	3.2.1.23:35	GH2(52-976)	GH2_e1	GH2+3.2.1.23	3
BT_0996	3.2.1.31:1|3.2.1.185:1|3.2.1.31:1|3.2.1.185:1|3.2.1.31:1|3.2.1.185:1	GH137(26-374)+GH2(377-820)+CBM57(1086-1247)+CBM97(1294-1418)	GH137_e0+GH2_e99+CBM57_e0	CBM57+GH137+GH2	3
BT_0997	-	GH138(2-873)	GH138_e1	GH138	3
BT_1001	3.2.1.40:3	GH78(186-680)	GH78_e1	GH78	3
BT_1002	3.2.1.51:1	GH141(21-581)	GH141_e22	GH141	3
BT_1003	3.2.1.-:2	GH127(44-607)	GH127_e5	GH127	3
BT_1010	3.2.1.-:3|3.2.1.63:2	GH95(29-761)	GH95_e1	GH95+3.2.1.-	3
BT_1011	3.2.1.-:1	GH105(49-396)	GH105_e2	GH105	3
BT_1012	3.2.1.-:1	GH140(36-462)	GH140_e1	GH140	3
BT_1013	3.2.1.40:1|3.2.1.40:1|3.2.1.-:1|3.2.1.40:1|3.2.1.-:1	CBM67(144-329)+GH78(357-887)+GH33(920-1275)	CBM67_e28+GH78_e2+GH33_e82	GH33+GH78	3
BT_1017	3.1.1.11:1	CE19(118-449)	CE19_e0	CE19	3
BT_1018	3.2.1.67:1	GH28(53-421)	GH28_e10	GH28+3.2.1.67	3
BT_1019	-|3.2.1.40:1	CBM67(170-325)+GH78(365-903)	CBM67_e27+GH78_e43	GH78	3
BT_1020	3.2.1.185:1|3.2.1.-:1|3.2.1.185:1|3.2.1.-:1	GH143(21-570)+GH142(634-1101)	GH143_e0+GH142_e0	GH142+GH143	3
BT_1021	3.2.1.55:2	GH43_18(40-266)	GH43_e173	GH43_18	3
BT_1023	-	PL1_2(135-328)	PL1_e77	PL1_2	3
BT_1014	-	-	-	PL0	1
