HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH117.hmm	211	CAWLDL010000001_1	325	4.8e-52	1	144	55	198	0.6777251184834123
GH117.hmm	211	CAWLDL010000001_1	325	2.3e-19	49	168	171	275	0.5639810426540285
GH95.hmm	722	CAWLDL010000001_12	656	4.1e-267	92	716	3	638	0.8642659279778393
GH177.hmm	347	CAWLDL010000001_16	375	3.5e-18	24	226	44	237	0.5821325648414986
GH95.hmm	722	CAWLDL010000001_21	1426	1.5e-62	93	714	730	1340	0.8601108033240997
GH95.hmm	722	CAWLDL010000001_23	892	4.7e-193	5	717	45	756	0.9861495844875346
CE19.hmm	332	CAWLDL010000001_25	646	4.7e-16	64	190	2	153	0.3795180722891566
CBM51.hmm	134	CAWLDL010000001_25	646	2.5e-22	37	134	551	644	0.7238805970149254
GH29.hmm	346	CAWLDL010000001_28	409	4e-88	47	346	2	284	0.8641618497109826
GH95.hmm	722	CAWLDL010000001_3	830	1.9e-226	18	716	50	808	0.9667590027700831
GH115.hmm	697	CAWLDL010000001_30	778	1.2e-82	8	577	73	700	0.8163558106169297
GH116.hmm	363	CAWLDL010000001_4	1130	1.3e-53	94	333	720	973	0.6584022038567493
CE20.hmm	249	CAWLDL010000001_7	460	1e-71	3	247	70	347	0.9799196787148594
