dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH117_e10	GH117:15	-	-	148	CAWLDL010000001_1	325	2.7e-69	1	148	56	199	0.9932432432432432	0.9932432432432432
GH117_e10	GH117:15	-	-	148	CAWLDL010000001_1	325	5.2e-31	46	147	169	274	0.6824324324324325	0.6824324324324325
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	pectin, xylan, xyloglucan, host glycan	743	CAWLDL010000001_12	656	3.7e-273	94	738	4	644	0.8667563930013459	0.8667563930013459
GH95_e23	GH95:7	-	-	580	CAWLDL010000001_21	1426	2.5e-287	6	579	723	1341	0.9879310344827587	0.9879310344827587
GH95_e0	GH95:552|CBM51:45|CBM32:26|CBM13:1|CBM47:1	3.2.1.63:5|3.2.1.51:1	xyloglucan, host glycan, host glycan	726	CAWLDL010000001_23	892	8.3e-204	97	723	108	755	0.8622589531680441	0.8622589531680441
CBM51_e1	CBM51:221|GH27:206|GH110:1	-	host glycan	139	CAWLDL010000001_25	646	7.8e-21	41	138	551	644	0.697841726618705	0.697841726618705
GH29_e15	GH29:37	-	-	299	CAWLDL010000001_28	409	5.9e-143	13	299	1	283	0.9565217391304348	0.9565217391304348
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	pectin, xylan, xyloglucan, host glycan	743	CAWLDL010000001_3	830	3.4e-231	17	733	51	809	0.9636608344549125	0.9636608344549125
GH115_e2	GH115:79	-	-	444	CAWLDL010000001_30	778	3.8e-107	3	440	89	546	0.9842342342342343	0.9842342342342343
GH116_e7	GH116:21|CBM38:1	-	-	340	CAWLDL010000001_4	1130	3e-101	1	340	674	1011	0.9970588235294118	0.9970588235294118
CE20_e15	CE20:34|CBM6:1	-	-	271	CAWLDL010000001_7	460	7.6e-110	1	270	71	348	0.992619926199262	0.992619926199262
