Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
AX660_RS08785	-	GH16_13(68-312)	GH16_e203	GH16_13	3
AX660_RS08805	3.2.1.-:2	GH127(31-569)	GH127_e13	GH127	3
AX660_RS08830	-	GH16_13(49-325)	GH16_e56	GH16_13	3
AX660_RS08835	3.2.1.-:1	GH167(51-807)	GH167_e0	GH167	3
AX660_RS08845	-	GH82(168-353)	GH82_e1	GH82	3
AX660_RS08860	-	GH16_13(44-280)	GH16_e203	GH16_13	3
AX660_RS08865	-	GH16_17(48-318)	GH16_e345	GH16_17	3
AX660_RS08920	-	GH16_13(55-343)	GH16_e56	GH16_13	3
AX660_RS08795	-	-	-	GH16_17	1
AX660_RS08930	-	-	-	GH16_3	1
