CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NZ_LSNE01000005	AX660_RS08785	1	1488	+	GH16_13
CGC1	null	NZ_LSNE01000005	AX660_RS08790;Parent	1522	3069	+	null
CGC1	null	NZ_LSNE01000005	AX660_RS08795;Parent	3106	4575	+	null
CGC1	null	NZ_LSNE01000005	AX660_RS08800;Parent	4617	6500	+	null
CGC1	CAZyme	NZ_LSNE01000005	AX660_RS08805	6551	8533	+	GH127
CGC1	null	NZ_LSNE01000005	AX660_RS08810;Parent	8615	9652	+	null
CGC1	null	NZ_LSNE01000005	AX660_RS08815;Parent	9889	10407	-	null
CGC1	null	NZ_LSNE01000005	AX660_RS23295;Parent	10671	11107	-	null
CGC1	null	NZ_LSNE01000005	AX660_RS08820;Parent	11156	12628	-	null
CGC1	null	NZ_LSNE01000005	AX660_RS08825;Parent	13255	14370	-	null
CGC1	CAZyme	NZ_LSNE01000005	AX660_RS08830	14489	15472	-	GH16_13
CGC1	CAZyme	NZ_LSNE01000005	AX660_RS08835	15659	18091	-	GH167
CGC1	null	NZ_LSNE01000005	AX660_RS08840;Parent	18116	20467	-	null
CGC1	CAZyme	NZ_LSNE01000005	AX660_RS08845	20587	22263	-	GH82
CGC1	null	NZ_LSNE01000005	AX660_RS08850;Parent	22422	23138	-	null
CGC1	STP	NZ_LSNE01000005	AX660_RS08855	23159	23890	-	Y_Y_Y
CGC1	CAZyme	NZ_LSNE01000005	AX660_RS08860	23890	25281	-	GH16_13
CGC1	CAZyme	NZ_LSNE01000005	AX660_RS08865	25312	26280	-	GH16_17
CGC1	null	NZ_LSNE01000005	AX660_RS08870;Parent	26358	28118	-	null
CGC1	null	NZ_LSNE01000005	AX660_RS08875;Parent	28190	31855	-	null
CGC1	null	NZ_LSNE01000005	AX660_RS08880;Parent	32737	33822	-	null
CGC1	null	NZ_LSNE01000005	AX660_RS08885;Parent	33819	35399	-	null
CGC1	null	NZ_LSNE01000005	AX660_RS08890;Parent	35412	36698	-	null
CGC1	TC	NZ_LSNE01000005	AX660_RS08895	36774	38900	-	1.B.14.8.1
CGC1	TF	NZ_LSNE01000005	AX660_RS08900	39074	39574	+	MarR
CGC1	TF	NZ_LSNE01000005	AX660_RS08905	39595	40059	-	HTH_11
CGC1	null	NZ_LSNE01000005	AX660_RS08910;Parent	40194	41267	+	null
CGC1	TF	NZ_LSNE01000005	AX660_RS08915	41267	42190	+	Crp
CGC1	CAZyme	NZ_LSNE01000005	AX660_RS08920	42800	43849	-	GH16_13
