Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
CCEL_RS03700	3.2.1.176:20|3.2.1.4:3|3.2.1.-:3|3.2.1.151:2|3.2.1.14:1	GH48(38-655)	GH48_e1	GH48+3.2.1.176	3
CCEL_RS03705	3.2.1.4:6	GH8(65-384)	GH8_e20	GH8+3.2.1.4	3
CCEL_RS03710	3.2.1.4:52|3.2.1.73:6|3.2.1.176:2|3.2.1.78:1|3.2.1.4:55|3.2.1.176:4|3.2.1.78:4|3.2.1.-:3|3.2.1.151:3|3.2.1.8:1|3.2.1.91:1	GH9(40-469)+CBM3(498-581)	GH9_e22+CBM3_e0	CBM3+GH9+3.2.1.4	3
CCEL_RS03715	3.2.1.4:11|3.2.1.-:3|3.2.1.91:3|3.2.1.8:1|3.2.1.4:19|3.2.1.91:5|3.2.1.73:3|3.2.1.-:2	CBM4(34-170)+GH9(312-806)	CBM4_e0+GH9_e1	CBM4+GH9+3.2.1.-	3
CCEL_RS03720	-	cohesin(93-222)	-	-	1
CCEL_RS03725	3.2.1.4:52|3.2.1.73:6|3.2.1.176:2|3.2.1.78:1|3.2.1.4:55|3.2.1.176:4|3.2.1.78:4|3.2.1.-:3|3.2.1.151:3|3.2.1.8:1|3.2.1.91:1	GH9(37-491)	GH9_e22+CBM3_e0	CBM3+GH9+3.2.1.4	3
CCEL_RS03730	3.2.1.4:18|3.2.1.-:2|3.2.1.4:8|3.2.1.-:1	GH9(39-512)+CBM3(538-630)	GH9_e17+CBM3_e1	CBM3+GH9+3.2.1.4	3
CCEL_RS03735	3.2.1.78:5	GH5_17(111-401)	GH5_e78	GH5_17+3.2.1.78	3
CCEL_RS03740	3.2.1.4:18|3.2.1.-:2	GH9(35-454)	GH9_e17	GH9+3.2.1.4	3
CCEL_RS03745	4.2.2.23:15|4.2.2.24:5	PL11(24-616)	PL11_e0	PL11_1+4.2.2.23	3
CCEL_RS03750	3.2.1.4:25|3.2.1.78:5|3.2.1.73:1|3.2.1.74:1	GH5_1(48-417)	GH5_e276	GH5_1+3.2.1.4	3
