Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
BF1729	3.2.1.18:6	CBM93(23-172)+GH33(194-530)	GH33_e121	GH33+3.2.1.18	3
BF1730	3.2.1.52:1	GH20(142-413)	GH20_e112	GH20	3
BF1732	-	CE3(23-213)+CE20(299-580)	CE20_e16	CE20	3
BF1733	3.2.1.25:4	GH2(19-772)	GH2_e80	GH2+3.2.1.25	3
BF1734	3.2.1.52:18|3.2.1.-:1	GH20(155-509)+CBM32(637-750)	GH20_e12	GH20+3.2.1.52	3
BF1736	3.2.1.52:18|3.2.1.-:1|-	GH20(149-497)	GH20_e12+CBM32_e198	GH20+3.2.1.52	3
BF1737	3.2.1.24:1	GH92(262-748)	GH92_e13	GH92	3
BF1738	3.2.1.23:2	GH2(24-721)	GH2_e137	GH2	3
BF1741	3.2.1.23:1	GH2(18-685)	GH2_e125	GH2	3
BF1731	-	-	-	CE0	1
BF1735	-	-	-	CE20	1
