HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CBM93.hmm	150	BF1729	544	3.2e-70	1	150	23	172	0.9933333333333333
GH33.hmm	342	BF1729	544	4.3e-95	12	330	194	530	0.9298245614035088
GH20.hmm	337	BF1730	670	5.2e-63	9	335	142	413	0.9673590504451038
CE3.hmm	194	BF1732	690	2.4e-16	1	194	23	213	0.9948453608247423
CE20.hmm	249	BF1732	690	5e-90	3	249	299	580	0.9879518072289156
GH2.hmm	752	BF1733	856	1.1e-113	22	587	19	772	0.7513297872340425
GH20.hmm	337	BF1734	774	2.6e-128	9	336	155	509	0.9703264094955489
CBM32.hmm	124	BF1734	774	1.4e-18	17	110	637	750	0.75
GH20.hmm	337	BF1736	690	1.1e-123	8	336	149	497	0.973293768545994
GH92.hmm	491	BF1737	749	6.4e-180	2	487	262	748	0.9877800407331976
GH2.hmm	752	BF1738	833	1.1e-120	27	549	24	721	0.6941489361702128
GH2.hmm	752	BF1741	956	5.1e-73	25	532	18	685	0.6742021276595744
