Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
BF1729	BAC56895.2|GH33|3.2.1.18	100	544	0	0	1	544	1	544	0.0	1093
BF1730	BAC56896.1|GH20	100	670	0	0	1	670	1	670	0.0	1409
BF1731	USA57267.1|CE0	100	220	0	0	1	220	1	220	1.52e-159	444
BF1732	BAD48479.1|CE20	100	690	0	0	1	690	1	690	0.0	1437
BF1733	BAD48480.1|GH2|3.2.1.25	100	856	0	0	1	856	1	856	0.0	1778
BF1734	BAC56900.2|GH20|3.2.1.52	100	774	0	0	1	774	1	774	0.0	1588
BF1735	QIU95642.1|CE20	55.1	394	148	4	18	404	677	1048	1.52e-146	447
BF1736	BAD48483.1|GH20|3.2.1.52	100	690	0	0	1	690	1	690	0.0	1412
BF1737	AKA51549.1|GH92	100	749	0	0	1	749	1	749	0.0	1563
BF1738	BAC56904.2|GH2	100	833	0	0	1	833	1	833	0.0	1732
BF1741	BAC56907.2|GH2	100	928	0	0	1	928	1	928	0.0	1912
