Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
AXE80_RS06895	3.2.1.23:35	GH2(47-956)	GH2_e1	GH2	3
AXE80_RS06900	-|-	GH141(23-538)	GH141_e19+GH141_e18	CBM13	3
AXE80_RS06940	3.2.1.178:1	GH16_11(142-388)	GH16_e132	GH16_11+3.2.1.178	3
AXE80_RS06945	3.2.1.159:2|3.2.1.159:2	GH117(92-246)	GH117_e12+GH117_e12	GH117	3
AXE80_RS06950	3.2.1.178:2	GH16_11(50-289)	GH16_e154	GH16_11	3
AXE80_RS06955	-	GH16_14(66-286)	GH16_e259	GH16_14	3
AXE80_RS06965	3.2.1.51:1	GH29(26-403)	GH29_e0	GH29	3
AXE80_RS14265	-|3.2.1.-:1	GH105(55-366)+GH154(390-744)	GH105_e42+GH154_e20	GH105+GH154	3
AXE80_RS06930	-	-	-	GH29	1
AXE80_RS06935	-	-	-	GH117	1
