HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH92.hmm	491	BT_RS19030	753	8e-192	3	491	246	736	0.9938900203665988
GH38.hmm	269	BT_RS19035	1198	1e-56	1	250	30	284	0.9256505576208178
CBM32.hmm	124	BT_RS19035	1198	1.2e-18	12	122	1077	1195	0.8870967741935484
GT32.hmm	90	BT_RS19040	224	5.1e-23	2	88	20	101	0.9555555555555556
GT32.hmm	90	BT_RS19045	233	2.4e-25	8	87	29	103	0.8777777777777778
GH130_3.hmm	311	BT_RS19065	383	9.7e-141	2	310	61	371	0.9903536977491961
GH125.hmm	402	BT_RS19070	481	4.2e-189	2	402	70	466	0.9950248756218906
GH76.hmm	358	BT_RS19075	387	2.7e-79	37	330	68	366	0.8184357541899442
GH92.hmm	491	BT_RS19085	760	5.3e-180	2	491	237	742	0.9959266802443992
GH76.hmm	358	BT_RS19120	525	1.1e-72	7	320	157	487	0.8743016759776536
