HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_15.hmm	274	Rmar_1068	797	1.1e-126	1	273	51	332	0.9927007299270073
CBM91.hmm	200	Rmar_1068	797	2.1e-34	5	198	362	559	0.965
CBM6.hmm	138	Rmar_1068	797	7.1e-24	20	136	567	695	0.8405797101449275
CBM4.hmm	126	Rmar_1069	997	4.4e-21	5	121	43	179	0.9206349206349206
CBM4.hmm	126	Rmar_1069	997	1.5e-19	5	121	217	353	0.9206349206349206
GH10.hmm	303	Rmar_1069	997	1.6e-70	17	301	596	890	0.9372937293729373
GH10.hmm	303	Rmar_1074	498	2.7e-71	8	302	78	387	0.9702970297029703
GH67.hmm	669	Rmar_1079	726	0	1	667	25	695	0.9955156950672646
GH3.hmm	216	Rmar_1080	792	4.7e-75	3	216	110	340	0.9861111111111112
GH3.hmm	216	Rmar_1081	788	1.5e-75	3	216	102	332	0.9861111111111112
