PUL#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
PUL0654	TF	NZ_CAJQES010000007	KCP55_RS03990	251	3007	+	GerE
PUL0654	TC	NZ_CAJQES010000007	KCP55_RS03995	3271	6309	+	1.B.14.6.1
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04000	6320	7867	+	null
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04005	7879	9678	+	null
PUL0654	CAZyme	NZ_CAJQES010000007	KCP55_RS04010	9723	11081	+	GH144
PUL0654	CAZyme	NZ_CAJQES010000007	KCP55_RS04015	11078	12514	+	GH144
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04020	12504	13298	+	null
PUL0654	CAZyme	NZ_CAJQES010000007	KCP55_RS04025	13321	15591	+	GH3
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04030	15631	17268	+	null
PUL0654	STP	NZ_CAJQES010000007	KCP55_RS04035	17265	17699	-	BLUF
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04040	17924	18397	+	null
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04045	18509	19018	+	null
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04050	19680	20027	-	null
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04055	20066	20959	-	null
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04060	20964	25502	-	null
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04065	25763	26479	-	null
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04070	26499	27470	-	null
PUL0654	CAZyme	NZ_CAJQES010000007	KCP55_RS04075	27677	29995	+	PL6+PL6_1
PUL0654	CAZyme	NZ_CAJQES010000007	KCP55_RS04080	30007	32232	+	PL12
PUL0654	CAZyme	NZ_CAJQES010000007	KCP55_RS04085	32481	34814	+	PL6+PL6_1
PUL0654	CAZyme	NZ_CAJQES010000007	KCP55_RS04090	34886	37054	+	PL17_2+PL17
PUL0654	STP	NZ_CAJQES010000007	KCP55_RS04095	37070	37444	+	AraC_binding
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04100	37612	38862	+	null
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04105	38967	40067	-	null
PUL0654	TC	NZ_CAJQES010000007	KCP55_RS04110	40663	43698	+	1.B.14.6.1
PUL0654	TC	NZ_CAJQES010000007	KCP55_RS04115	43725	45254	+	8.A.46.1.3
PUL0654	TF	NZ_CAJQES010000007	KCP55_RS04120	45460	46161	+	GntR
PUL0654	TC	NZ_CAJQES010000007	KCP55_RS04125	46280	47569	+	2.A.1.14.25
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04130	47593	48354	+	null
PUL0654	TF	NZ_CAJQES010000007	KCP55_RS04135	48407	49423	-	LacI
PUL0654	STP	NZ_CAJQES010000007	KCP55_RS04140	49574	50620	+	PfkB
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04145	50657	51877	+	null
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04150	51885	52553	+	null
PUL0654	STP	NZ_CAJQES010000007	KCP55_RS04155	52831	54495	+	TPR_2
PUL0654	STP	NZ_CAJQES010000007	KCP55_RS04160	54499	55164	+	Response_reg
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04165	55363	56085	+	null
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04170	56091	56981	-	null
PUL0654	CDS	NZ_CAJQES010000007	KCP55_RS04175	56984	59545	-	null
