Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
FG27_RS09925	QNE42320.1|GH0	46.1	633	330	7	21	645	13	642	1.99e-196	572
FG27_RS09930	BBE15991.1|GH0	36.4	857	472	14	24	826	20	857	3.30e-187	563
FG27_RS09940	UAB85033.1|GH27	70.8	400	117	0	2	401	3	402	1.34e-228	634
FG27_RS09950	UAB85031.1|CBM8	82.7	358	58	2	2	359	4	357	3.56e-211	587
FG27_RS09960	AST56160.1|GH35	33.7	870	487	27	259	1053	714	1568	4.15e-120	409
FG27_RS09965	UAB85029.1|GH5_2	70.7	311	89	1	13	323	12	320	3.99e-161	457
FG27_RS09975	UAB85027.1|GH26	64.9	373	131	0	1	373	1	373	2.38e-191	538
FG27_RS09985	UAB85025.1|GH130	91.4	395	34	0	1	395	1	395	7.17e-276	753
FG27_RS09995	UAB85023.1|GH26	95.2	420	20	0	1	420	1	420	4.63e-291	794
FG27_RS10000	UAB85022.1|CE20	85.2	458	68	0	1	458	1	458	2.27e-295	810
