Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
FG27_RS09925	-	GH30(287-640)	-	GH0	2
FG27_RS09930	3.2.1.4:19|3.2.1.91:5|3.2.1.73:3|3.2.1.-:2	GH9(379-763)	GH9_e1	GH0	3
FG27_RS09940	-	GH27(124-377)	GH27_e32	GH27	3
FG27_RS09965	3.2.1.4:1	GH5_2(47-281)	GH5_e42	GH5_2	3
FG27_RS09975	-	GH26(35-322)	GH26_e78	GH26	3
FG27_RS09985	2.4.1.281:5	GH130_1(55-366)	GH130_e6	GH130	3
FG27_RS09995	-	GH26(62-356)	GH26_e67	GH26	3
FG27_RS10000	-	CE20(102-351)	CE20_e28	CE20	3
FG27_RS09950	-	-	-	CBM8	1
FG27_RS09960	-	-	-	GH35	1
