CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	NZ_DS990123	BACPLE_RS05595	2045	5347	-	1.B.14.6.1
CGC1	TF	NZ_DS990123	BACPLE_RS05600	5669	9697	+	HTH_AraC
CGC1	CAZyme	NZ_DS990123	BACPLE_RS05605	9768	10919	-	GH43_24| GH43_24
CGC1	CAZyme	NZ_DS990123	BACPLE_RS05610	10960	11952	-	GH43_17| GH43_17
CGC1	CAZyme	NZ_DS990123	BACPLE_RS19680	12082	13278	-	GH105|GH154| GH154
CGC1	CAZyme	NZ_DS990123	BACPLE_RS05620	14407	15684	-	 PL42|PL42
CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	TC	NZ_DS990123	BACPLE_RS05595	2045	5347	-	1.B.14.6.1
CGC1	TF	NZ_DS990123	BACPLE_RS05600	5669	9697	+	Mga|HTH_AraC
CGC1	CAZyme	NZ_DS990123	BACPLE_RS05605	9768	10919	-	GH43_24
CGC1	CAZyme	NZ_DS990123	BACPLE_RS05610	10960	11952	-	GH43_17
CGC1	CAZyme	NZ_DS990123	BACPLE_RS19680	12082	13278	-	GH154
CGC1	CAZyme	NZ_DS990123	BACPLE_RS05620	14407	15684	-	PL42
