CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	JABUTP010000015	HUJ91_01905	1	1787	-	GH2
CGC1	null	JABUTP010000015	HUJ91_01910;Parent	1848	2548	-	null
CGC1	CAZyme	JABUTP010000015	HUJ91_01915	2569	4077	-	GH173
CGC1	CAZyme	JABUTP010000015	HUJ91_01920	4089	6485	-	GH2
CGC1	CAZyme	JABUTP010000015	HUJ91_01925	6524	7738	-	GH5_57
CGC1	null	JABUTP010000015	HUJ91_01930;Parent	7811	9148	-	null
CGC1	null	JABUTP010000015	HUJ91_01935;Parent	9182	11077	-	null
CGC1	TC	JABUTP010000015	HUJ91_01940	11090	13972	-	1.B.14.6.1
CGC1	null	JABUTP010000015	HUJ91_01945;Parent	13998	14173	-	null
CGC1	CAZyme	JABUTP010000015	HUJ91_01950	14183	15887	-	GH78
