CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NZ_JDUC01000011	OU05_RS07025	1	2229	+	GH127
CGC1	TF	NZ_JDUC01000011	OU05_RS07030	2257	3222	+	HTH_AraC|HTH_AraC
CGC1	TF	NZ_JDUC01000011	OU05_RS07035	3394	4551	-	LacI
CGC1	CAZyme	NZ_JDUC01000011	OU05_RS07040	4970	6334	+	GH27
CGC1	TC	NZ_JDUC01000011	OU05_RS07045	7086	8996	+	3.A.1.106.3
CGC1	TC	NZ_JDUC01000011	OU05_RS07050	9007	10815	+	3.A.1.106.3
CGC1	CAZyme	NZ_JDUC01000011	OU05_RS07055	11078	13543	+	GH51_2
CGC1	null	NZ_JDUC01000011	OU05_RS07060;Parent	13527	13739	+	null
CGC1	CAZyme	NZ_JDUC01000011	OU05_RS07065	13893	15638	-	GH43_4
CGC1	CAZyme	NZ_JDUC01000011	OU05_RS07070	15795	17390	-	GH43_4
CGC1	CAZyme	NZ_JDUC01000011	OU05_RS07075	17506	19638	+	GH43_27
CGC1	TF	NZ_JDUC01000011	OU05_RS07080	19754	20812	+	LacI
CGC1	null	NZ_JDUC01000011	OU05_RS07085;Parent	20924	21868	-	null
CGC1	CAZyme	NZ_JDUC01000011	OU05_RS07090	22133	23167	+	GH43_26
CGC1	STP	NZ_JDUC01000011	OU05_RS07095	23585	24901	+	SBP_bac_1
CGC1	TC	NZ_JDUC01000011	OU05_RS07100	25040	25993	+	3.A.1.1.36
CGC1	TC	NZ_JDUC01000011	OU05_RS07105	25990	26916	+	3.A.1.1.36
