Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
CWS31_RS06455	ARD46027.1|GH16_17	69.9	329	89	4	1	328	1	320	2.00e-168	476
CWS31_RS06545	QGJ68845.1|GH16_17	44.7	490	237	10	17	496	14	479	1.33e-122	390
CWS31_RS06560	AQQ67198.1|CBM16|GH16_13	73.6	424	110	2	20	443	35	456	3.43e-230	656
CWS31_RS06590	AWB65385.1|GH16	67.0	312	90	2	3	301	14	325	1.37e-153	437
CWS31_RS06625	BAX82390.1|GH16_3	42.6	462	235	9	23	469	25	471	1.39e-111	351
CWS31_RS06650	AWB65000.1|GH16_17	52.9	357	159	5	15	365	13	366	4.30e-124	367
CWS31_RS06655	QEP52096.1|GH16_13	39.7	476	237	11	19	477	17	459	4.53e-116	359
CWS31_RS06665	QEP52094.1|GH16_13	74.2	298	76	1	64	360	61	358	2.79e-174	494
CWS31_RS06670	QGJ68845.1|GH16_17	56.3	474	201	3	21	490	17	488	5.36e-192	566
CWS31_RS06680	ABG39411.1|GH167	80.0	816	155	1	1	816	1	808	0.0	1344
CWS31_RS06685	ABG39405.1|GH82	69.7	725	190	9	57	758	157	874	0.0	972
CWS31_RS06690	ABG39405.1|GH82	78.8	735	149	3	151	882	144	874	0.0	1164
