Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
CWS31_RS06455	-	GH16_17(55-325)	GH16_e345	GH16_17	3
CWS31_RS06560	-|3.2.1.78:1|3.2.1.39:1|3.2.1.83:5	GH16_13(45-295)+CBM16(311-425)+CBM16(542-655)	GH16_e286+CBM16_e23+CBM56_e2+CBM16_e5	CBM16+GH16_13	3
CWS31_RS06590	-	GH16_3(55-299)	GH16_e96	GH16	3
CWS31_RS06650	-	GH16_17(87-363)	GH16_e345	GH16_17	3
CWS31_RS06655	-	GH16_13(47-298)	GH16_e203	GH16_13	3
CWS31_RS06665	-	GH16_13(83-358)	GH16_e56	GH16_13	3
CWS31_RS06680	3.2.1.-:1	GH167(59-813)	GH167_e0	GH167	3
CWS31_RS06645	3.2.1.83:5	-	CBM16_e5	-	1
CWS31_RS06685	3.2.1.157:2	-	GH82_e6	GH82	2
CWS31_RS06690	3.2.1.157:2	-	GH82_e6	GH82	2
CWS31_RS06545	-	-	-	GH16_17	1
CWS31_RS06625	-	-	-	GH16_3	1
CWS31_RS06670	-	-	-	GH16_17	1
