dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CE9_e7	CE9:187	-	-	374	GKD17_RS15795	387	4.4e-215	1	374	6	379	0.9973262032085561	0.9973262032085561
GH2_e137	GH2:343|CBM32:1|CBM67:1	3.2.1.23:2	beta-galactan	607	GKD17_RS15800	834	0	2	606	25	631	0.9950576606260296	0.9950576606260296
GH92_e13	GH92:281	3.2.1.24:1	host glycan	487	GKD17_RS15805	750	5.9e-251	1	486	260	743	0.9958932238193019	0.9958932238193019
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	GKD17_RS15810	684	5.3e-162	2	349	142	491	0.9886039886039886	0.9886039886039886
CBM32_e198	CBM32:19|GH20:19	-	host glycan	96	GKD17_RS15810	684	6.7e-29	2	94	578	669	0.9583333333333334	0.9583333333333334
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	GKD17_RS15820	774	8.4e-177	2	349	153	510	0.9886039886039886	0.9886039886039886
GH2_e80	GH2:380	3.2.1.25:4	beta-mannan	707	GKD17_RS15825	855	0	3	705	29	734	0.9929278642149929	0.9929278642149929
CE20_e16	CE20:217|CE0:1|GH33:1|CE3:1	-	-	283	GKD17_RS15830	687	4.9e-138	1	283	300	580	0.9964664310954063	0.9964664310954063
GH20_e112	GH20:103	3.2.1.52:1	host glycan	272	GKD17_RS15840	668	4.7e-160	1	272	141	412	0.9963235294117647	0.9963235294117647
GH33_e121	GH33:131	3.2.1.18:6	sialic acid	336	GKD17_RS15845	546	2.2e-183	1	336	195	531	0.9970238095238095	0.9970238095238095
