Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
GKD17_RS15795	-	CE9(5-378)	CE9_e7	CE9	3
GKD17_RS15800	3.2.1.23:2	GH2(22-767)	GH2_e137	GH2	3
GKD17_RS15805	3.2.1.24:1	GH92(259-747)	GH92_e13	GH92	3
GKD17_RS15810	3.2.1.52:18|3.2.1.-:1|-	GH20(143-490)	GH20_e12+CBM32_e198	GH20	3
GKD17_RS15820	3.2.1.52:18|3.2.1.-:1	GH20(155-509)	GH20_e12	GH20	3
GKD17_RS15825	3.2.1.25:4	GH2(20-758)	GH2_e80	GH2	3
GKD17_RS15830	-	CE3(23-211)+CE20(299-580)	CE20_e16	CE20	3
GKD17_RS15840	3.2.1.52:1	GH20(140-411)	GH20_e112	GH20	3
GKD17_RS15845	3.2.1.18:6	CBM93(24-173)+GH33(194-530)	GH33_e121	GH33	3
GKD17_RS15815	-	-	-	CE20	1
GKD17_RS15835	-	-	-	CE0	1
