CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	NZ_CP046176	GKD17_RS15795	1	1164	-	CE9
CGC1	CAZyme	NZ_CP046176	GKD17_RS15800	1339	3843	-	GH2
CGC1	CAZyme	NZ_CP046176	GKD17_RS15805	3846	6098	-	GH92
CGC1	CAZyme	NZ_CP046176	GKD17_RS15810	6125	8179	-	GH20
CGC1	null	NZ_CP046176	GKD17_RS15815;Parent	8176	9303	-	null
CGC1	CAZyme	NZ_CP046176	GKD17_RS15820	9398	11722	-	GH20
CGC1	CAZyme	NZ_CP046176	GKD17_RS15825	11739	14306	-	GH2
CGC1	CAZyme	NZ_CP046176	GKD17_RS15830	14333	16396	-	CE3|CE20
CGC1	null	NZ_CP046176	GKD17_RS15835;Parent	16393	17058	-	null
CGC1	CAZyme	NZ_CP046176	GKD17_RS15840	17060	19066	-	GH20
CGC1	CAZyme	NZ_CP046176	GKD17_RS15845	19070	20710	-	CBM93|GH33
CGC1	TC	NZ_CP046176	GKD17_RS15850	20843	22345	-	8.A.46.1.4
CGC1	TC	NZ_CP046176	GKD17_RS15855	22365	25640	-	1.B.14.6.1
