dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH97_e18	GH97:183|GH146:3|GH43_19:3|CE6:2	3.2.1.22:1|3.2.1.88:1	alpha-glucan	633	P162_RS04020	653	0	4	632	16	642	0.9921011058451816	0.9921011058451816
GH43_e124	GH43_12:138|GH10:7|GH43:1	3.2.1.55:7|3.2.1.8:1	xylan, xylan	295	P162_RS04025	584	4.5e-171	1	295	71	365	0.9966101694915255	0.9966101694915255
CBM91_e46	CBM91:172|GH43_12:169|GH10:14|GH43_8:1	-	xylan	179	P162_RS04025	584	1.3e-84	1	178	402	579	0.9888268156424581	0.9888268156424581
CE6_e2	CE6:151|CE0:39|CBM48:38|GH95:11|GH51:3|GH97:2|GH43_10:2|GH43_17:1|CBM5:1|CBM4:1|GH10:1|GH43_28:1|CBM88:1|CBM9:1	3.1.1.72:6|3.1.1.73:2	xylan	111	P162_RS04030	894	1.2e-59	1	111	88	198	0.990990990990991	0.990990990990991
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	P162_RS04030	894	4.9e-85	2	206	314	527	0.9902912621359223	0.9902912621359223
CBM48_e68	CBM48:192|CE0:190|CE6:12|GH10:3|CE1:2|GH62:1	3.1.1.73:1|3.2.1.55:1|3.2.1.8:1	glycogen	61	P162_RS04030	894	4.7e-28	2	61	567	625	0.9672131147540983	0.9672131147540983
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	P162_RS04030	894	1.9e-58	3	206	675	888	0.9854368932038835	0.9854368932038835
GH8_e12	GH8:49|GH43_2:6|CBM6:5|CE15:4	3.2.1.156:1	xylan	327	P162_RS04035	432	1.8e-181	1	327	95	421	0.9969418960244648	0.9969418960244648
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	pectin, xylan, xyloglucan, host glycan	743	P162_RS04040	834	0	2	729	38	768	0.9784656796769852	0.9784656796769852
GH10_e83	GH10:216|GH43_12:4|GH43_1:3|CE0:2	3.2.1.8:21|3.2.1.55:1	xylan	341	P162_RS04050	379	2.4e-164	2	340	38	376	0.9912023460410557	0.9912023460410557
CBM4_e26	CBM4:30|GH10:30	-	xylan, beta-glucan	139	P162_RS04055	562	1.1e-30	3	138	162	291	0.9712230215827338	0.9712230215827338
GH10_e101	GH10:68|CBM4:40|CBM0:10	3.2.1.8:10	xylan	231	P162_RS04055	562	1.1e-111	2	231	326	555	0.9913419913419913	0.9913419913419913
GH43_e101	GH43_10:132|CBM22:17|CBM6:15|GH43_16:11|CBM2:10|GH10:5|GH43_2:4|GH43:3|GH62:2|CBM88:2|CBM9:2|CE6:1|GH8:1|CBM60:1	-	-	267	P162_RS17810	944	6.7e-139	1	267	432	698	0.9962546816479401	0.9962546816479401
CBM91_e51	CBM91:206|GH43_10:196|CBM22:29|CBM6:17|GH43_16:15|GH43:7|CBM2:6|CE0:2|CBM13:2|CBM88:2|CBM9:2|GH43_29:1|CE6:1|CBM5:1|GH30_10:1	-	xylan	186	P162_RS17810	944	1.5e-85	2	185	735	916	0.9838709677419355	0.9838709677419355
