Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
HMPREF9456_RS11100	3.2.1.8:5|3.2.1.8:5|3.2.1.8:4	GH10(477-729)	CBM4_e6+CBM4_e6+GH10_e5	CBM4+GH10+3.2.1.8	3
HMPREF9456_RS11130	3.2.1.55:7|3.2.1.8:1|-	GH43_12(61-355)+CBM91(392-570)	GH43_e124+CBM91_e46	GH43_12	3
HMPREF9456_RS11135	3.2.1.37:19|3.2.1.55:4	GH43_1(7-315)	GH43_e53	GH43_1	3
HMPREF9456_RS11140	3.2.1.8:21|3.2.1.55:1	GH10(20-361)	GH10_e83	GH10	3
HMPREF9456_RS11155	3.2.1.185:1	GH146(34-542)	GH146_e0	GH146	3
HMPREF9456_RS11165	3.1.1.72:2|3.1.1.73:1|-	CE1(149-377)	CBM48_e9+CE1_e22	CBM48+CE0	3
HMPREF9456_RS11170	3.2.1.156:1	GH8(87-416)	GH8_e12	GH8	3
HMPREF9456_RS11175	3.1.1.72:6|3.1.1.73:2	CE6(87-199)	CE6_e2	CE6	3
HMPREF9456_RS11180	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1|3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	GH43_29(22-304)+CBM6(324-450)	GH43_e59+CBM6_e0	CBM6+GH43_29	3
HMPREF9456_RS11185	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1|3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	GH43_29(27-298)+CBM6(322-444)	GH43_e59+CBM6_e0	CBM6+GH43_29	3
HMPREF9456_RS11190	3.2.1.22:1|3.2.1.88:1	GH97(12-644)	GH97_e18	GH97	3
HMPREF9456_RS11195	3.2.1.177:4	GH31_4(218-714)	GH31_e94	GH31	3
HMPREF9456_RS11210	-	GH51_2(211-806)	GH51_e33	GH51	3
HMPREF9456_RS11215	-	GH43_29(23-305)	GH43_e223	GH43_29	3
HMPREF9456_RS11220	-|3.1.1.73:1|3.2.1.55:1|3.2.1.8:1|-	CE1(49-269)+CE1(416-651)	CE1_e22+CBM48_e68+CE1_e22	CBM48+CE0	3
HMPREF9456_RS11225	3.2.1.55:1|-	GH43_10(30-299)+CBM91(327-513)	GH43_e82+CBM91_e51	GH43_10	3
HMPREF9456_RS11230	3.2.1.131:6	GH115(34-819)	GH115_e0	GH115	3
HMPREF9456_RS11235	-	CE20(102-223)+CE20(404-529)	CE20_e20	GH11+3.2.1.8	3
HMPREF9456_RS11245	3.2.1.8:21|3.2.1.55:1	GH10(34-374)	GH10_e83	GH10	3
HMPREF9456_RS11250	3.2.1.37:19|3.2.1.55:4	GH43_1(7-315)	GH43_e53	GH43_1	3
HMPREF9456_RS11255	3.2.1.139:4|3.2.1.131:3|3.2.1.-:1	GH67(52-652)	GH67_e0	GH67	3
