HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH10.hmm	303	HMPREF9456_RS11100	735	5.7e-50	96	301	477	729	0.6765676567656765
GH43_12.hmm	281	HMPREF9456_RS11130	574	2.2e-108	2	281	61	355	0.9928825622775801
CBM91.hmm	200	HMPREF9456_RS11130	574	1.1e-49	5	182	392	570	0.885
GH43_1.hmm	310	HMPREF9456_RS11135	323	1.8e-160	2	310	7	315	0.9935483870967742
GH10.hmm	303	HMPREF9456_RS11140	376	7e-108	1	302	20	361	0.9933993399339934
GH146.hmm	503	HMPREF9456_RS11155	787	1.1e-217	2	503	34	542	0.9960238568588469
CE1.hmm	227	HMPREF9456_RS11165	383	4.1e-58	1	221	149	377	0.9691629955947136
GH8.hmm	320	HMPREF9456_RS11170	427	1.3e-79	22	319	87	416	0.928125
CE6.hmm	99	HMPREF9456_RS11175	282	1.1e-34	1	99	87	199	0.98989898989899
GH43_29.hmm	278	HMPREF9456_RS11180	451	7.4e-124	1	278	22	304	0.9964028776978417
CBM6.hmm	138	HMPREF9456_RS11180	451	2.5e-28	15	137	324	450	0.8840579710144928
GH43_29.hmm	278	HMPREF9456_RS11185	444	5.3e-114	2	278	27	298	0.9928057553956835
CBM6.hmm	138	HMPREF9456_RS11185	444	5.4e-24	18	137	322	444	0.8623188405797102
GH97.hmm	631	HMPREF9456_RS11190	646	1.2e-174	4	628	12	644	0.9889064976228209
GH31_4.hmm	435	HMPREF9456_RS11195	815	7.3e-187	1	435	218	714	0.9977011494252873
GH51_2.hmm	435	HMPREF9456_RS11210	810	9.3e-162	2	434	211	806	0.993103448275862
GH43_29.hmm	278	HMPREF9456_RS11215	318	5.5e-121	1	278	23	305	0.9964028776978417
CE1.hmm	227	HMPREF9456_RS11220	656	7e-56	1	217	49	269	0.9515418502202643
CE1.hmm	227	HMPREF9456_RS11220	656	5.6e-66	1	220	416	651	0.9647577092511013
GH43_10.hmm	271	HMPREF9456_RS11225	515	3.1e-108	1	271	30	299	0.996309963099631
CBM91.hmm	200	HMPREF9456_RS11225	515	6.2e-34	5	198	327	513	0.965
GH115.hmm	697	HMPREF9456_RS11230	839	4.1e-285	3	697	34	819	0.9956958393113343
CE20.hmm	249	HMPREF9456_RS11235	643	6.1e-43	3	120	102	223	0.46987951807228917
CE20.hmm	249	HMPREF9456_RS11235	643	4e-49	121	247	404	529	0.5060240963855421
GH10.hmm	303	HMPREF9456_RS11245	383	1.6e-106	2	302	34	374	0.9900990099009901
GH43_1.hmm	310	HMPREF9456_RS11250	324	9.7e-163	2	310	7	315	0.9935483870967742
GH67.hmm	669	HMPREF9456_RS11255	676	2.7e-286	64	666	52	652	0.8998505231689088
