Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
HMPREF9456_RS11100	ADD61487.1|CBM4|GH10|3.2.1.8	56.4	754	304	11	2	735	9	757	1.10e-291	822
HMPREF9456_RS11130	QNF34825.1|GH43_12	68.8	574	175	1	1	574	12	581	8.17e-314	865
HMPREF9456_RS11135	QRX63271.1|GH43_1	81.1	322	60	1	1	321	1	322	3.27e-208	576
HMPREF9456_RS11140	AZA59437.1|GH10	64.5	358	126	1	10	367	15	371	1.72e-177	503
HMPREF9456_RS11155	QIK52968.1|GH146	67.4	788	254	3	1	787	1	786	0.0	1107
HMPREF9456_RS11165	BDI75052.1|CBM48|CE0	63.5	359	131	0	24	382	30	388	2.51e-178	506
HMPREF9456_RS11170	UBD71136.1|GH8	70.8	397	113	3	31	427	25	418	2.21e-219	613
HMPREF9456_RS11175	QEK50423.1|CE6	66.2	275	91	2	1	274	1	274	9.07e-132	379
HMPREF9456_RS11180	QUT88907.1|CBM6|GH43_29	76.4	449	106	0	3	451	5	453	1.17e-268	740
HMPREF9456_RS11185	ANU56185.1|CBM6|GH43_29	79.6	422	84	2	24	444	9	429	1.99e-266	733
HMPREF9456_RS11190	QRX63278.1|GH97	73.2	638	171	0	8	645	10	647	0.0	1002
HMPREF9456_RS11195	QDO68317.1|GH31	72.7	814	221	1	1	814	1	813	0.0	1280
HMPREF9456_RS11210	QSB26317.1|GH51	61.2	783	297	6	28	809	28	804	0.0	1005
HMPREF9456_RS11215	UEG52268.1|GH43_29	76.4	318	74	1	1	318	1	317	1.50e-192	536
HMPREF9456_RS11220	WJK48054.1|CBM48|CE0	55.1	659	277	9	1	656	1	643	1.24e-251	713
HMPREF9456_RS11225	QDO68466.1|GH43_10	63.4	517	179	5	2	513	3	514	9.41e-249	695
HMPREF9456_RS11230	UMQ42299.1|GH115	69.2	838	253	2	2	838	5	838	0.0	1241
HMPREF9456_RS11235	CCO21319.1|GH11|3.2.1.8	55.5	642	277	6	1	640	1	635	4.37e-247	708
HMPREF9456_RS11245	ANF49066.1|GH10	64.7	365	128	1	12	376	4	367	1.59e-177	503
HMPREF9456_RS11250	CCO21286.1|GH43_1	83.6	318	51	1	1	318	1	317	4.04e-210	581
HMPREF9456_RS11255	AYM99018.1|GH67	76.4	669	156	2	10	676	9	677	0.0	1088
