PUL#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11100	1	2208	-	GH10
PUL0648	CDS	NZ_GL892007	HMPREF9456_RS11105	2239	3279	-	null
PUL0648	CDS	NZ_GL892007	HMPREF9456_RS11110	3315	5120	-	null
PUL0648	CDS	NZ_GL892007	HMPREF9456_RS11115	5135	7972	-	null
PUL0648	CDS	NZ_GL892007	HMPREF9456_RS11120	8016	9959	-	null
PUL0648	TC	NZ_GL892007	HMPREF9456_RS11125	9971	13114	-	1.B.14.6.1
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11130	13669	15393	-	GH43_12+CBM91
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11135	15677	16648	-	GH43_1
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11140	16656	17786	-	GH10
PUL0648	TF	NZ_GL892007	HMPREF9456_RS11145	18578	22546	+	HTH_AraC+HTH_AraC
PUL0648	CDS	NZ_GL892007	HMPREF9456_RS11150	22794	24821	+	null
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11155	24933	27296	+	GH146
PUL0648	STP	NZ_GL892007	HMPREF9456_RS11160	27393	28094	-	NUDIX
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11165	28397	29548	-	CE1
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11170	29569	30852	-	GH8
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11175	30866	31714	-	CE6
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11180	31773	33128	-	GH43_29+CBM6
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11185	33149	34483	-	GH43_29+CBM6
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11190	34492	36432	-	GH97
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11195	36465	38912	-	GH31
PUL0648	TF	NZ_GL892007	HMPREF9456_RS11200	39048	42923	-	HTH_AraC
PUL0648	CDS	NZ_GL892007	HMPREF9456_RS11205	43308	43895	+	null
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11210	44041	46473	-	GH51
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11215	46513	47469	-	GH43_29
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11220	47595	49565	-	CE1+CE1
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11225	49668	51215	-	GH43_10+CBM91
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11230	52026	54545	+	GH115
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11235	54557	56488	+	CE20+CE20
PUL0648	TC	NZ_GL892007	HMPREF9456_RS11240	56501	57913	+	2.A.2.3.2
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11245	57939	59090	+	GH10
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11250	59112	60086	+	GH43_1
PUL0648	CAZyme	NZ_GL892007	HMPREF9456_RS11255	60190	62220	+	GH67
PUL0648	CDS	NZ_GL892007	HMPREF9456_RS11260	62228	63400	+	null
PUL0648	CDS	NZ_GL892007	HMPREF9456_RS11265	63397	64236	+	null
PUL0648	TF	NZ_GL892007	HMPREF9456_RS11270	64559	68566	-	HTH_AraC+HTH_AraC
PUL0648	TC	NZ_GL892007	HMPREF9456_RS11275	69349	72540	+	1.B.14.6.1
PUL0648	TC	NZ_GL892007	HMPREF9456_RS11280	72560	74635	+	8.A.46.1.6
