dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CBM4_e6	CBM4:22|GH10:22|CBM0:7	3.2.1.8:5	xylan, beta-glucan	122	HMPREF9456_RS11100	735	3.9e-28	15	121	131	248	0.8688524590163934	0.8688524590163934
CBM4_e6	CBM4:22|GH10:22|CBM0:7	3.2.1.8:5	xylan, beta-glucan	122	HMPREF9456_RS11100	735	1.6e-24	1	121	270	444	0.9836065573770492	0.9836065573770492
GH10_e5	GH10:38|CBM4:15|CBM0:9	3.2.1.8:4	xylan	262	HMPREF9456_RS11100	735	3.7e-129	1	262	476	731	0.9961832061068703	0.9961832061068703
GH43_e124	GH43_12:138|GH10:7|GH43:1	3.2.1.55:7|3.2.1.8:1	xylan, xylan	295	HMPREF9456_RS11130	574	1e-166	1	295	62	356	0.9966101694915255	0.9966101694915255
CBM91_e46	CBM91:172|GH43_12:169|GH10:14|GH43_8:1	-	xylan	179	HMPREF9456_RS11130	574	1.6e-79	1	179	393	571	0.994413407821229	0.994413407821229
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	HMPREF9456_RS11135	323	2.1e-150	1	310	7	316	0.9967741935483871	0.9967741935483871
GH10_e83	GH10:216|GH43_12:4|GH43_1:3|CE0:2	3.2.1.8:21|3.2.1.55:1	xylan	341	HMPREF9456_RS11140	376	6.1e-165	1	340	22	361	0.9941348973607038	0.9941348973607038
GH146_e0	GH146:409|GH97:3|GH43_19:1|GH43_34:1|CBM13:1	3.2.1.185:1	arabinan	511	HMPREF9456_RS11155	787	2e-254	2	511	35	543	0.9960861056751468	0.9960861056751468
CBM48_e9	CBM48:44|CE0:41|CE6:26|CBM6:6|GH43_29:6	3.1.1.72:2|3.1.1.73:1	glycogen	60	HMPREF9456_RS11165	383	4.1e-32	1	60	47	106	0.9833333333333333	0.9833333333333333
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	HMPREF9456_RS11165	383	1.9e-59	4	205	160	375	0.9757281553398058	0.9757281553398058
GH8_e12	GH8:49|GH43_2:6|CBM6:5|CE15:4	3.2.1.156:1	xylan	327	HMPREF9456_RS11170	427	9.1e-168	1	327	88	417	0.9969418960244648	0.9969418960244648
CE6_e2	CE6:151|CE0:39|CBM48:38|GH95:11|GH51:3|GH97:2|GH43_10:2|GH43_17:1|CBM5:1|CBM4:1|GH10:1|GH43_28:1|CBM88:1|CBM9:1	3.1.1.72:6|3.1.1.73:2	xylan	111	HMPREF9456_RS11175	282	6.4e-53	1	110	89	199	0.9819819819819819	0.9819819819819819
GH43_e59	GH43_29:334|CBM6:308|CBM2:13|CBM13:12|CBM22:12|CBM42:12|GH43_10:9|GH43:9|CBM48:6|CE0:6|GH43_17:4|GH27:3|GH43_30:2|CE6:2|CBM64:1|CBM51:1|GH43_26:1|CBM1:1	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1	xylan, xylan, xylan	281	HMPREF9456_RS11180	451	2.3e-139	1	281	23	305	0.99644128113879	0.99644128113879
CBM6_e0	CBM6:335|GH43_29:310|CBM13:12|CBM22:12|CBM2:12|GH43_16:11|GH43:10|CBM48:6|CE0:6|GH27:2|CBM32:1|CBM36:1|CBM1:1|GH43_10:1|CBM64:1	3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	beta-glucan, xylan, cellulose	125	HMPREF9456_RS11180	451	2.9e-46	2	124	327	450	0.976	0.976
GH43_e59	GH43_29:334|CBM6:308|CBM2:13|CBM13:12|CBM22:12|CBM42:12|GH43_10:9|GH43:9|CBM48:6|CE0:6|GH43_17:4|GH27:3|GH43_30:2|CE6:2|CBM64:1|CBM51:1|GH43_26:1|CBM1:1	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1	xylan, xylan, xylan	281	HMPREF9456_RS11185	444	3.7e-122	1	281	27	299	0.99644128113879	0.99644128113879
CBM6_e0	CBM6:335|GH43_29:310|CBM13:12|CBM22:12|CBM2:12|GH43_16:11|GH43:10|CBM48:6|CE0:6|GH27:2|CBM32:1|CBM36:1|CBM1:1|GH43_10:1|CBM64:1	3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	beta-glucan, xylan, cellulose	125	HMPREF9456_RS11185	444	2.3e-38	2	124	322	444	0.976	0.976
GH97_e18	GH97:183|GH146:3|GH43_19:3|CE6:2	3.2.1.22:1|3.2.1.88:1	alpha-glucan	633	HMPREF9456_RS11190	646	0	4	632	16	644	0.9921011058451816	0.9921011058451816
GH31_e94	GH31:154	3.2.1.177:4	xyloglucan	461	HMPREF9456_RS11195	815	6.8e-239	1	461	219	715	0.9978308026030369	0.9978308026030369
GH51_e33	GH51:16|GH43_19:1	-	-	607	HMPREF9456_RS11210	810	2.5e-235	2	606	209	807	0.9950576606260296	0.9950576606260296
GH43_e223	GH43_29:16|CBM13:1|GH43_34:1	-	-	283	HMPREF9456_RS11215	318	1.2e-166	1	283	24	306	0.9964664310954063	0.9964664310954063
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	HMPREF9456_RS11220	656	3.3e-84	2	206	58	272	0.9902912621359223	0.9902912621359223
CBM48_e68	CBM48:192|CE0:190|CE6:12|GH10:3|CE1:2|GH62:1	3.1.1.73:1|3.2.1.55:1|3.2.1.8:1	glycogen	61	HMPREF9456_RS11220	656	1.1e-27	1	61	317	376	0.9836065573770492	0.9836065573770492
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	HMPREF9456_RS11220	656	1.6e-72	2	206	425	651	0.9902912621359223	0.9902912621359223
GH43_e82	GH43_10:63|CBM6:1	3.2.1.55:1	xylan	267	HMPREF9456_RS11225	515	4e-116	1	267	31	300	0.9962546816479401	0.9962546816479401
CBM91_e51	CBM91:206|GH43_10:196|CBM22:29|CBM6:17|GH43_16:15|GH43:7|CBM2:6|CE0:2|CBM13:2|CBM88:2|CBM9:2|GH43_29:1|CE6:1|CBM5:1|GH30_10:1	-	xylan	186	HMPREF9456_RS11225	515	3.7e-73	2	185	334	511	0.9838709677419355	0.9838709677419355
GH115_e0	GH115:692|GH3:1|CE15:1|CBM6:1|CE4:1	3.2.1.131:6	xylan	646	HMPREF9456_RS11230	839	4.7e-297	2	645	35	827	0.9953560371517027	0.9953560371517027
CE20_e20	CE20:241	-	-	236	HMPREF9456_RS11235	643	8.4e-86	1	234	103	530	0.9872881355932204	0.9872881355932204
GH10_e83	GH10:216|GH43_12:4|GH43_1:3|CE0:2	3.2.1.8:21|3.2.1.55:1	xylan	341	HMPREF9456_RS11245	383	5.7e-166	2	340	36	374	0.9912023460410557	0.9912023460410557
