cluster_id	sequence_id	start	end	tax_id	database	merged	blast_status	domain	phylum	class	order	family	genus	species	length	pul_length_sum	percentage_in_puls	origin
PUL0216_PUL0445	AB011415	1	14738	28214	dbcan	merged	false								14852	14737	99.22569350929167	experimental
cblaster_27819	ABJL02000008	57189	61571	329854	cblaster	merged	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis	3472993	136289	3.924252078826534	experimental
PUL0794	ABJL02000008	835017	876949	329854	dbcan		false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis	3472993	136289	3.924252078826534	experimental
cblaster_PUL0533	ABJL02000008	888953	910988	329854	cblaster	merged	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis	3472993	136289	3.924252078826534	experimental
28_PUL0345_cblaster_PUL0262	ABJL02000008	2467545	2530030	329854	puldb_dbcan_cblaster	merged	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis	3472993	136289	3.924252078826534	experimental
cblaster_245	ABJL02000008	3442803	3448258	329854	cblaster	merged	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis	3472993	136289	3.924252078826534	experimental
cblaster_PUL0016	AE005176	418875	423592	1360	cblaster		false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	2365589	34349	1.4520273809186635	experimental
cblaster_PUL0520_cblaster_PUL0402	AE005176	1543237	1551460	1360	cblaster	merged	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	2365589	34349	1.4520273809186635	experimental
cblaster_PUL0520_cblaster_PUL0402	AE005176	1543237	1551460	1360	cblaster	merged	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	2365589	34349	1.4520273809186635	experimental
PUL0168	AE005176	2053080	2066266	1360	dbcan		false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	2365589	34349	1.4520273809186635	experimental
PUL0571	AE006468	1390110	1397061	28901	dbcan		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	4857450	16282	0.3351964508126692	experimental
cblaster_PUL0410	AE006468	3500614	3509945	28901	cblaster		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	4857450	16282	0.3351964508126692	experimental
PUL0155	AE007870	11703	21103	1176649	dbcan		false	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium fabrum	2075577	19447	0.9369442810360685	experimental
PUL0726	AE007870	302505	312552	1176649	dbcan		false	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium fabrum	2075577	19447	0.9369442810360685	experimental
PUL0363	AE008922	150292	155526	340	dbcan		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	5076188	112866	2.223440108995175	experimental
cblaster_PUL0702	AE008922	2024640	2042368	340	cblaster		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	5076188	112866	2.223440108995175	experimental
cblaster_PUL0169	AE008922	2832163	2854388	340	cblaster		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	5076188	112866	2.223440108995175	experimental
cblaster_PUL0719_PUL0365	AE008922	2926203	2941997	340	cblaster_dbcan	merged	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	5076188	112866	2.223440108995175	experimental
PUL0211	AE008922	3414366	3434455	340	dbcan		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	5076188	112866	2.223440108995175	experimental
PUL0362	AE008922	3996974	4004221	340	dbcan		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	5076188	112866	2.223440108995175	experimental
PUL0387	AE008922	4057997	4068416	340	dbcan		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	5076188	112866	2.223440108995175	experimental
PUL0364	AE008922	4895164	4909294	340	dbcan		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	5076188	112866	2.223440108995175	experimental
PUL0031	AE014295	126816	130943	216816	dbcan		false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089	experimental
cblaster_PUL0285	AE014295	1015666	1027327	216816	cblaster		false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089	experimental
cblaster_PUL0297_cblaster_PUL0298_cblaster_PUL0283_PUL0367	AE014295	1165270	1177370	216816	cblaster_dbcan	merged	false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089	experimental
cblaster_PUL0720	AE014295	1354873	1372084	216816	cblaster		false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089	experimental
PUL0032	AE014295	1500956	1505431	216816	dbcan		false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089	experimental
cblaster_PUL0232	AE014295	1692080	1699655	216816	cblaster		false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089	experimental
cblaster_PUL0296	AE014295	1733290	1744564	216816	cblaster		false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089	experimental
cblaster_PUL0300	AE014295	1787637	1806222	216816	cblaster		false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089	experimental
cblaster_PUL0576	AE014295	2047897	2057593	216816	cblaster		false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089	experimental
27810	AE015928	21906	29011		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	6260361	1940942	31.0036753471565	experimental
27811	AE015928	138333	151899		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	6260361	1940942	31.0036753471565	experimental
27812_cblaster_257	AE015928	197238	212201		puldb_cblaster	merged	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	6260361	1940942	31.0036753471565	experimental
27813	AE015928	221704	239311		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	6260361	1940942	31.0036753471565	experimental
27814_PUL0560	AE015928	291568	341723	818	puldb_dbcan	merged	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	6260361	1940942	31.0036753471565	experimental
27815	AE015928	381145	387947		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	6260361	1940942	31.0036753471565	experimental
27816_PUL0302	AE015928	416722	456321	818	puldb_dbcan	merged	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	6260361	1940942	31.0036753471565	experimental
27817_27818_27903_PUL0463_PUL0464_PUL0115	AE015928	519419	573833	818	puldb_dbcan_dbcan	merged	false	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	6260361	1940942	31.0036753471565	experimental
