PUL#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
PUL0655	CDS	NZ_CAJQES010000017	KCP55_RS09490	1	939	+	null
PUL0655	CDS	NZ_CAJQES010000017	KCP55_RS09495	936	2150	+	null
PUL0655	TC	NZ_CAJQES010000017	KCP55_RS09505	3159	6263	+	1.B.14.6.1
PUL0655	CDS	NZ_CAJQES010000017	KCP55_RS09510	6283	7731	+	null
PUL0655	CDS	NZ_CAJQES010000017	KCP55_RS09515	7787	9655	+	null
PUL0655	CAZyme	NZ_CAJQES010000017	KCP55_RS09520	9706	10581	+	PL7
PUL0655	CAZyme	NZ_CAJQES010000017	KCP55_RS09525	10591	11562	+	PL7
PUL0655	TF	NZ_CAJQES010000017	KCP55_RS09530	11748	12449	+	GntR
PUL0655	CDS	NZ_CAJQES010000017	KCP55_RS09535	12539	13801	+	null
PUL0655	CDS	NZ_CAJQES010000017	KCP55_RS09545	13968	15245	-	null
